'Request type'	'Load'	'Bucket'	'Start time'	'Absolute'	'Percent of requests'	'End time'	'Absolute'	'Percent of requests'	'Residence time'	'Absolute'	'Percent of requests'	'Theor. think time'	'Absolute'	'Percent of requests'	'Actual think time'	'Absolute'	'Percent of requests'
login	50	0	51.5	4	0.625	51.5	0	0.0	2.5	0	0.0	3.0	640	100.0	3.0	640	100.0
login	50	1	154.5	4	0.625	154.5	0	0.0	7.5	0	0.0	9.0	0	0.0	9.0	0	0.0
login	50	2	257.5	8	1.25	257.5	2	0.3125	12.5	0	0.0	15.0	0	0.0	15.0	0	0.0
login	50	3	360.5	11	1.71875	360.5	3	0.46875	17.5	0	0.0	21.0	0	0.0	21.0	0	0.0
login	50	4	463.5	8	1.25	463.5	7	1.09375	22.5	0	0.0	27.0	0	0.0	27.0	0	0.0
login	50	5	566.5	3	0.46875	566.5	7	1.09375	27.5	0	0.0	33.0	0	0.0	33.0	0	0.0
login	50	6	669.5	3	0.46875	669.5	8	1.25	32.5	0	0.0	39.0	0	0.0	39.0	0	0.0
login	50	7	772.5	5	0.78125	772.5	4	0.625	37.5	0	0.0	45.0	0	0.0	45.0	0	0.0
login	50	8	875.5	2	0.3125	875.5	5	0.78125	42.5	0	0.0	51.0	0	0.0	51.0	0	0.0
login	50	9	978.5	2	0.3125	978.5	8	1.25	47.5	0	0.0	57.0	0	0.0	57.0	0	0.0
login	50	10	1081.5	0	0.0	1081.5	6	0.9375	52.5	0	0.0	63.0	0	0.0	63.0	0	0.0
login	50	11	1184.5	0	0.0	1184.5	0	0.0	57.5	0	0.0	69.0	0	0.0	69.0	0	0.0
login	50	12	1287.5	0	0.0	1287.5	0	0.0	62.5	0	0.0	75.0	0	0.0	75.0	0	0.0
login	50	13	1390.5	3	0.46875	1390.5	0	0.0	67.5	0	0.0	81.0	0	0.0	81.0	0	0.0
login	50	14	1493.5	1	0.15625	1493.5	0	0.0	72.5	0	0.0	87.0	0	0.0	87.0	0	0.0
login	50	15	1596.5	10	1.5625	1596.5	4	0.625	77.5	0	0.0	93.0	0	0.0	93.0	0	0.0
login	50	16	1699.5	4	0.625	1699.5	0	0.0	82.5	1	0.15625	99.0	0	0.0	99.0	0	0.0
login	50	17	1802.5	1	0.15625	1802.5	6	0.9375	87.5	2	0.3125	105.0	0	0.0	105.0	0	0.0
login	50	18	1905.5	2	0.3125	1905.5	5	0.78125	92.5	1	0.15625	111.0	0	0.0	111.0	0	0.0
login	50	19	2008.5	21	3.28125	2008.5	3	0.46875	97.5	2	0.3125	117.0	0	0.0	117.0	0	0.0
login	50	20	2111.5	8	1.25	2111.5	5	0.78125	102.5	3	0.46875	123.0	0	0.0	123.0	0	0.0
login	50	21	2214.5	0	0.0	2214.5	4	0.625	107.5	3	0.46875	129.0	0	0.0	129.0	0	0.0
login	50	22	2317.5	0	0.0	2317.5	8	1.25	112.5	2	0.3125	135.0	0	0.0	135.0	0	0.0
login	50	23	2420.5	0	0.0	2420.5	6	0.9375	117.5	6	0.9375	141.0	0	0.0	141.0	0	0.0
login	50	24	2523.5	1	0.15625	2523.5	3	0.46875	122.5	2	0.3125	147.0	0	0.0	147.0	0	0.0
login	50	25	2626.5	3	0.46875	2626.5	2	0.3125	127.5	8	1.25	153.0	0	0.0	153.0	0	0.0
login	50	26	2729.5	0	0.0	2729.5	5	0.78125	132.5	4	0.625	159.0	0	0.0	159.0	0	0.0
login	50	27	2832.5	0	0.0	2832.5	3	0.46875	137.5	3	0.46875	165.0	0	0.0	165.0	0	0.0
