'Request type'	'Load'	'Bucket'	'Start time'	'Absolute'	'Percent of requests'	'End time'	'Absolute'	'Percent of requests'	'Residence time'	'Absolute'	'Percent of requests'	'Theor. think time'	'Absolute'	'Percent of requests'	'Actual think time'	'Absolute'	'Percent of requests'
CassandraWriteRequest	1	0	-1.073741824E9	0	0.0	-1.073741824E9	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0
CassandraWriteRequest	1	1	-3.221225472E9	0	0.0	-3.221225472E9	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0
CassandraWriteRequest	1	2	-5.36870912E9	0	0.0	-5.36870912E9	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0
CassandraWriteRequest	1	3	-7.516192768E9	0	0.0	-7.516192768E9	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0
CassandraWriteRequest	1	4	-9.663676416E9	0	0.0	-9.663676416E9	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0
CassandraWriteRequest	1	5	-1.1811160064E10	0	0.0	-1.1811160064E10	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0
CassandraWriteRequest	1	6	-1.3958643712E10	0	0.0	-1.3958643712E10	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0
CassandraWriteRequest	1	7	-1.610612736E10	0	0.0	-1.610612736E10	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0
CassandraWriteRequest	1	8	-1.8253611008E10	0	0.0	-1.8253611008E10	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0
CassandraWriteRequest	1	9	-2.0401094656E10	0	0.0	-2.0401094656E10	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0
CassandraWriteRequest	1	10	-2.2548578304E10	0	0.0	-2.2548578304E10	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0
CassandraWriteRequest	1	11	-2.4696061952E10	0	0.0	-2.4696061952E10	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0
CassandraWriteRequest	1	12	-2.68435456E10	0	0.0	-2.68435456E10	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0
CassandraWriteRequest	1	13	-2.8991029248E10	0	0.0	-2.8991029248E10	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0
