'Request type'	'Load'	'Bucket'	'Start time'	'Absolute'	'Percent of requests'	'End time'	'Absolute'	'Percent of requests'	'Residence time'	'Absolute'	'Percent of requests'	'Theor. think time'	'Absolute'	'Percent of requests'	'Actual think time'	'Absolute'	'Percent of requests'
CassandraWriteRequest	650	0	1500.0	252	0.0882368388802325	1500.0	0	0.0	19.5	6229	2.181060592797493	20.0	285595	100.0	20.0	285595	100.0
CassandraWriteRequest	650	1	4500.0	0	0.0	4500.0	0	0.0	58.5	20390	7.139480733206113	60.0	0	0.0	60.0	0	0.0
CassandraWriteRequest	650	2	7500.0	1113	0.3897127050543602	7500.0	1196	0.4187748384950717	97.5	34405	12.046779530453964	100.0	0	0.0	100.0	0	0.0
CassandraWriteRequest	650	3	10500.0	1181	0.41352264570458164	10500.0	1332	0.4663947197955146	136.5	40120	14.047864983630665	140.0	0	0.0	140.0	0	0.0
CassandraWriteRequest	650	4	13500.0	1827	0.6397170818816855	13500.0	1739	0.6089042175108107	175.5	32938	11.533115075544039	180.0	0	0.0	180.0	0	0.0
CassandraWriteRequest	650	5	16500.0	1577	0.5521805353735184	16500.0	1482	0.5189166477004149	214.5	24748	8.665417811936482	220.0	0	0.0	220.0	0	0.0
CassandraWriteRequest	650	6	19500.0	1512	0.529421033281395	19500.0	1536	0.537824541746179	253.5	17219	6.029167177296521	260.0	0	0.0	260.0	0	0.0
CassandraWriteRequest	650	7	22500.0	1534	0.5371242493741136	22500.0	1578	0.5525306815595511	292.5	12815	4.4871233740086485	300.0	0	0.0	300.0	0	0.0
CassandraWriteRequest	650	8	25500.0	1575	0.551480243001453	25500.0	1488	0.5210175248166109	331.5	9083	3.180377807734729	340.0	0	0.0	340.0	0	0.0
CassandraWriteRequest	650	9	28500.0	1482	0.5189166477004149	28500.0	1453	0.5087624083054675	370.5	7089	2.4821863127855877	380.0	0	0.0	380.0	0	0.0
CassandraWriteRequest	650	10	31500.0	1444	0.5056110926311734	31500.0	1608	0.5630350671405311	409.5	5950	2.0833698068943782	420.0	0	0.0	420.0	0	0.0
CassandraWriteRequest	650	11	34500.0	1626	0.5693376984891192	34500.0	1651	0.5780913531399359	448.5	4807	1.683152716259038	460.0	0	0.0	460.0	0	0.0
CassandraWriteRequest	650	12	37500.0	1623	0.5682872599310211	37500.0	1497	0.524168840490905	487.5	4380	1.5336402948230885	500.0	0	0.0	500.0	0	0.0
CassandraWriteRequest	650	13	40500.0	1329	0.4653442812374166	40500.0	1278	0.4474868257497505	526.5	4262	1.4923230448712337	540.0	0	0.0	540.0	0	0.0
CassandraWriteRequest	650	14	43500.0	1503	0.526269717607101	43500.0	1580	0.5532309739316165	565.5	4057	1.4205430767345366	580.0	0	0.0	580.0	0	0.0
CassandraWriteRequest	650	15	46500.0	1562	0.5469283425830284	46500.0	1619	0.5668866751868905	604.5	4330	1.5161329855214551	620.0	0	0.0	620.0	0	0.0
CassandraWriteRequest	650	16	49500.0	1475	0.5164656243981862	49500.0	1416	0.49580699942225875	643.5	4374	1.5315394177068926	660.0	0	0.0	660.0	0	0.0
CassandraWriteRequest	650	17	52500.0	1334	0.4670950121675799	52500.0	1408	0.49300582993399744	682.5	4310	1.5091300618008017	700.0	0	0.0	700.0	0	0.0
CassandraWriteRequest	650	18	55500.0	1569	0.549379365885257	55500.0	1401	0.49055480663176876	721.5	4023	1.4086381064094258	740.0	0	0.0	740.0	0	0.0
CassandraWriteRequest	650	19	58500.0	1389	0.4863530523993767	58500.0	1495	0.5234685481188396	760.5	4027	1.4100386911535565	780.0	0	0.0	780.0	0	0.0
CassandraWriteRequest	650	20	61500.0	1515	0.530471471839493	61500.0	1478	0.5175160629562842	799.5	3899	1.3652199793413748	820.0	0	0.0	820.0	0	0.0
CassandraWriteRequest	650	21	64500.0	1474	0.5161154782121535	64500.0	1453	0.5087624083054675	838.5	3668	1.2843362103678284	860.0	0	0.0	860.0	0	0.0
CassandraWriteRequest	650	22	67500.0	1449	0.5073618235613369	67500.0	1476	0.5168157705842189	877.5	3495	1.2237609201841768	900.0	0	0.0	900.0	0	0.0
CassandraWriteRequest	650	23	70500.0	1484	0.5196169400724803	70500.0	1409	0.49335597612003007	916.5	3266	1.1435774435826958	940.0	0	0.0	940.0	0	0.0
CassandraWriteRequest	650	24	73500.0	1422	0.49790787653845475	73500.0	1555	0.5444773192807997	955.5	2898	1.0147236471226737	980.0	0	0.0	980.0	0	0.0
CassandraWriteRequest	650	25	76500.0	1487	0.5206673786305782	76500.0	1515	0.530471471839493	994.5	2545	0.8911220434531416	1020.0	0	0.0	1020.0	0	0.0
CassandraWriteRequest	650	26	79500.0	1517	0.5311717642115583	79500.0	1417	0.49615714560829144	1033.5	2240	0.7843274567131777	1060.0	0	0.0	1060.0	0	0.0
CassandraWriteRequest	650	27	82500.0	1480	0.5182163553283495	82500.0	1541	0.5395752726763423	1072.5	2060	0.7213011432272973	1100.0	0	0.0	1100.0	0	0.0
CassandraWriteRequest	650	28	85500.0	1470	0.5147148934680229	85500.0	1521	0.532572348955689	1111.5	1918	0.6715803848106584	1140.0	0	0.0	1140.0	0	0.0
CassandraWriteRequest	650	29	88500.0	1684	0.5896461772790139	88500.0	1601	0.5605840438383024	1150.5	1648	0.5770409145818379	1180.0	0	0.0	1180.0	0	0.0
