'Request type'	'Load'	'Bucket'	'Start time'	'Absolute'	'Percent of requests'	'End time'	'Absolute'	'Percent of requests'	'Residence time'	'Absolute'	'Percent of requests'	'Theor. think time'	'Absolute'	'Percent of requests'	'Actual think time'	'Absolute'	'Percent of requests'
SaasRequest	50	0	15052.0	1450	4.9540469438655235	15052.0	1450	4.9540469438655235	5.0	0	0.0	4.5	29269	100.0	4.5	29269	100.0
SaasRequest	50	1	45156.0	1469	5.018962041750658	45156.0	1467	5.012128873552222	15.0	10338	35.32064641771157	13.5	0	0.0	13.5	0	0.0
SaasRequest	50	2	75260.0	1471	5.025795209949093	75260.0	1471	5.025795209949093	25.0	14310	48.89131845980389	22.5	0	0.0	22.5	0	0.0
SaasRequest	50	3	105364.0	1467	5.012128873552222	105364.0	1469	5.018962041750658	35.0	3405	11.633468857835936	31.5	0	0.0	31.5	0	0.0
SaasRequest	50	4	135468.0	1473	5.032628378147528	135468.0	1471	5.025795209949093	45.0	762	2.6034370836038128	40.5	0	0.0	40.5	0	0.0
SaasRequest	50	5	165572.0	1471	5.025795209949093	165572.0	1469	5.018962041750658	55.0	221	0.7550650859270901	49.5	0	0.0	49.5	0	0.0
SaasRequest	50	6	195676.0	1466	5.008712289453005	195676.0	1469	5.018962041750658	65.0	81	0.2767433120366258	58.5	0	0.0	58.5	0	0.0
SaasRequest	50	7	225780.0	1469	5.018962041750658	225780.0	1470	5.022378625849876	75.0	35	0.11958044347261608	67.5	0	0.0	67.5	0	0.0
SaasRequest	50	8	255884.0	1471	5.025795209949093	255884.0	1471	5.025795209949093	85.0	54	0.18449554135775054	76.5	0	0.0	76.5	0	0.0
SaasRequest	50	9	285988.0	1474	5.036044962246746	285988.0	1471	5.025795209949093	95.0	13	0.04441559328982883	85.5	0	0.0	85.5	0	0.0
SaasRequest	50	10	316092.0	1468	5.01554545765144	316092.0	1469	5.018962041750658	105.0	7	0.023916088694523215	94.5	0	0.0	94.5	0	0.0
SaasRequest	50	11	346196.0	1474	5.036044962246746	346196.0	1475	5.039461546345963	115.0	3	0.010249752297652806	103.5	0	0.0	103.5	0	0.0
SaasRequest	50	12	376300.0	1467	5.012128873552222	376300.0	1468	5.01554545765144	125.0	1	0.0034165840992176023	112.5	0	0.0	112.5	0	0.0
SaasRequest	50	13	406404.0	1465	5.005295705353787	406404.0	1465	5.005295705353787	135.0	7	0.023916088694523215	121.5	0	0.0	121.5	0	0.0
SaasRequest	50	14	436508.0	1470	5.022378625849876	436508.0	1467	5.012128873552222	145.0	2	0.006833168198435205	130.5	0	0.0	130.5	0	0.0
SaasRequest	50	15	466612.0	1474	5.036044962246746	466612.0	1476	5.042878130445181	155.0	0	0.0	139.5	0	0.0	139.5	0	0.0
SaasRequest	50	16	496716.0	1465	5.005295705353787	496716.0	1465	5.005295705353787	165.0	1	0.0034165840992176023	148.5	0	0.0	148.5	0	0.0
SaasRequest	50	17	526820.0	1472	5.029211794048311	526820.0	1471	5.025795209949093	175.0	1	0.0034165840992176023	157.5	0	0.0	157.5	0	0.0
SaasRequest	50	18	556924.0	1469	5.018962041750658	556924.0	1470	5.022378625849876	185.0	0	0.0	166.5	0	0.0	166.5	0	0.0
SaasRequest	50	19	587028.0	1364	4.660220711332809	587028.0	1365	4.663637295432027	195.0	2	0.006833168198435205	175.5	0	0.0	175.5	0	0.0
SaasRequest	50	20	617132.0	0	0.0	617132.0	0	0.0	205.0	0	0.0	184.5	0	0.0	184.5	0	0.0
SaasRequest	50	21	647236.0	0	0.0	647236.0	0	0.0	215.0	0	0.0	193.5	0	0.0	193.5	0	0.0
SaasRequest	50	22	677340.0	0	0.0	677340.0	0	0.0	225.0	2	0.006833168198435205	202.5	0	0.0	202.5	0	0.0
SaasRequest	50	23	707444.0	0	0.0	707444.0	0	0.0	235.0	0	0.0	211.5	0	0.0	211.5	0	0.0
SaasRequest	50	24	737548.0	0	0.0	737548.0	0	0.0	245.0	2	0.006833168198435205	220.5	0	0.0	220.5	0	0.0
SaasRequest	50	25	767652.0	0	0.0	767652.0	0	0.0	255.0	1	0.0034165840992176023	229.5	0	0.0	229.5	0	0.0
SaasRequest	50	26	797756.0	0	0.0	797756.0	0	0.0	265.0	1	0.0034165840992176023	238.5	0	0.0	238.5	0	0.0
SaasRequest	50	27	827860.0	0	0.0	827860.0	0	0.0	275.0	0	0.0	247.5	0	0.0	247.5	0	0.0
SaasRequest	50	28	857964.0	0	0.0	857964.0	0	0.0	285.0	1	0.0034165840992176023	256.5	0	0.0	256.5	0	0.0
SaasRequest	50	29	888068.0	0	0.0	888068.0	0	0.0	295.0	1	0.0034165840992176023	265.5	0	0.0	265.5	0	0.0
SaasRequest	50	30	918172.0	0	0.0	918172.0	0	0.0	305.0	1	0.0034165840992176023	274.5	0	0.0	274.5	0	0.0
SaasRequest	50	31	948276.0	0	0.0	948276.0	0	0.0	315.0	1	0.0034165840992176023	283.5	0	0.0	283.5	0	0.0
SaasRequest	50	32	978380.0	0	0.0	978380.0	0	0.0	325.0	0	0.0	292.5	0	0.0	292.5	0	0.0
SaasRequest	50	33	1008484.0	0	0.0	1008484.0	0	0.0	335.0	1	0.0034165840992176023	301.5	0	0.0	301.5	0	0.0
SaasRequest	50	34	1038588.0	0	0.0	1038588.0	0	0.0	345.0	0	0.0	310.5	0	0.0	310.5	0	0.0
SaasRequest	50	35	1068692.0	0	0.0	1068692.0	0	0.0	355.0	2	0.006833168198435205	319.5	0	0.0	319.5	0	0.0
SaasRequest	50	36	1098796.0	0	0.0	1098796.0	0	0.0	365.0	1	0.0034165840992176023	328.5	0	0.0	328.5	0	0.0
SaasRequest	50	37	1128900.0	0	0.0	1128900.0	0	0.0	375.0	0	0.0	337.5	0	0.0	337.5	0	0.0
SaasRequest	50	38	1159004.0	0	0.0	1159004.0	0	0.0	385.0	0	0.0	346.5	0	0.0	346.5	0	0.0
SaasRequest	50	39	1189108.0	0	0.0	1189108.0	0	0.0	395.0	0	0.0	355.5	0	0.0	355.5	0	0.0
SaasRequest	50	40	1219212.0	0	0.0	1219212.0	0	0.0	405.0	0	0.0	364.5	0	0.0	364.5	0	0.0
SaasRequest	50	41	1249316.0	0	0.0	1249316.0	0	0.0	415.0	0	0.0	373.5	0	0.0	373.5	0	0.0
SaasRequest	50	42	1279420.0	0	0.0	1279420.0	0	0.0	425.0	0	0.0	382.5	0	0.0	382.5	0	0.0
SaasRequest	50	43	1309524.0	0	0.0	1309524.0	0	0.0	435.0	1	0.0034165840992176023	391.5	0	0.0	391.5	0	0.0
SaasRequest	50	44	1339628.0	0	0.0	1339628.0	0	0.0	445.0	1	0.0034165840992176023	400.5	0	0.0	400.5	0	0.0
SaasRequest	50	45	1369732.0	0	0.0	1369732.0	0	0.0	455.0	0	0.0	409.5	0	0.0	409.5	0	0.0
SaasRequest	50	46	1399836.0	0	0.0	1399836.0	0	0.0	465.0	1	0.0034165840992176023	418.5	0	0.0	418.5	0	0.0
SaasRequest	50	47	1429940.0	0	0.0	1429940.0	0	0.0	475.0	1	0.0034165840992176023	427.5	0	0.0	427.5	0	0.0
SaasRequest	50	48	1460044.0	0	0.0	1460044.0	0	0.0	485.0	0	0.0	436.5	0	0.0	436.5	0	0.0
SaasRequest	50	49	1490148.0	0	0.0	1490148.0	0	0.0	495.0	2	0.006833168198435205	445.5	0	0.0	445.5	0	0.0
SaasRequest	50	50	1520252.0	0	0.0	1520252.0	0	0.0	505.0	1	0.0034165840992176023	454.5	0	0.0	454.5	0	0.0
SaasRequest	50	51	1550356.0	0	0.0	1550356.0	0	0.0	515.0	0	0.0	463.5	0	0.0	463.5	0	0.0
SaasRequest	50	52	1580460.0	0	0.0	1580460.0	0	0.0	525.0	1	0.0034165840992176023	472.5	0	0.0	472.5	0	0.0
SaasRequest	50	53	1610564.0	0	0.0	1610564.0	0	0.0	535.0	0	0.0	481.5	0	0.0	481.5	0	0.0
SaasRequest	50	54	1640668.0	0	0.0	1640668.0	0	0.0	545.0	0	0.0	490.5	0	0.0	490.5	0	0.0
SaasRequest	50	55	1670772.0	0	0.0	1670772.0	0	0.0	555.0	0	0.0	499.5	0	0.0	499.5	0	0.0
SaasRequest	50	56	1700876.0	0	0.0	1700876.0	0	0.0	565.0	1	0.0034165840992176023	508.5	0	0.0	508.5	0	0.0
SaasRequest	50	57	1730980.0	0	0.0	1730980.0	0	0.0	575.0	1	0.0034165840992176023	517.5	0	0.0	517.5	0	0.0
SaasRequest	50	58	1761084.0	0	0.0	1761084.0	0	0.0	585.0	0	0.0	526.5	0	0.0	526.5	0	0.0
SaasRequest	50	59	1791188.0	0	0.0	1791188.0	0	0.0	595.0	1	0.0034165840992176023	535.5	0	0.0	535.5	0	0.0
SaasRequest	50	60	1821292.0	0	0.0	1821292.0	0	0.0	605.0	0	0.0	544.5	0	0.0	544.5	0	0.0
SaasRequest	50	61	1851396.0	0	0.0	1851396.0	0	0.0	615.0	0	0.0	553.5	0	0.0	553.5	0	0.0
SaasRequest	50	62	1881500.0	0	0.0	1881500.0	0	0.0	625.0	1	0.0034165840992176023	562.5	0	0.0	562.5	0	0.0
SaasRequest	50	63	1911604.0	0	0.0	1911604.0	0	0.0	635.0	0	0.0	571.5	0	0.0	571.5	0	0.0
SaasRequest	50	64	1941708.0	0	0.0	1941708.0	0	0.0	645.0	0	0.0	580.5	0	0.0	580.5	0	0.0
SaasRequest	50	65	1971812.0	0	0.0	1971812.0	0	0.0	655.0	0	0.0	589.5	0	0.0	589.5	0	0.0
SaasRequest	50	66	2001916.0	0	0.0	2001916.0	0	0.0	665.0	0	0.0	598.5	0	0.0	598.5	0	0.0
SaasRequest	50	67	2032020.0	0	0.0	2032020.0	0	0.0	675.0	0	0.0	607.5	0	0.0	607.5	0	0.0
SaasRequest	50	68	2062124.0	0	0.0	2062124.0	0	0.0	685.0	0	0.0	616.5	0	0.0	616.5	0	0.0
SaasRequest	50	69	2092228.0	0	0.0	2092228.0	0	0.0	695.0	0	0.0	625.5	0	0.0	625.5	0	0.0
SaasRequest	50	70	2122332.0	0	0.0	2122332.0	0	0.0	705.0	0	0.0	634.5	0	0.0	634.5	0	0.0
