"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lxc-reproduction",,,,"User:","root"
"Cmdline:","dstat -m -t -o cont-3.csv 1 10",,,,"Date:","26 Mar 2020 13:21:03 UTC"

"memory usage",,,,"system"
"used","buff","cach","free","time"
319823872.0,126361600.0,545480704.0,1105821696.0,26-03 13:21:03
319868928.0,126361600.0,545513472.0,1105743872.0,26-03 13:21:04
319868928.0,126361600.0,545513472.0,1105743872.0,26-03 13:21:05
319868928.0,126361600.0,545513472.0,1105743872.0,26-03 13:21:06
319868928.0,126361600.0,545513472.0,1105743872.0,26-03 13:21:07
319868928.0,126361600.0,545513472.0,1105743872.0,26-03 13:21:08
319860736.0,126369792.0,545513472.0,1105743872.0,26-03 13:21:09
319860736.0,126369792.0,545513472.0,1105743872.0,26-03 13:21:10
319860736.0,126369792.0,545513472.0,1105743872.0,26-03 13:21:11
319860736.0,126369792.0,545513472.0,1105743872.0,26-03 13:21:12
319827968.0,126369792.0,545513472.0,1105776640.0,26-03 13:21:13
