'Request type'	'Load'	'Bucket'	'Start time'	'Absolute'	'Percent of requests'	'End time'	'Absolute'	'Percent of requests'	'Residence time'	'Absolute'	'Percent of requests'	'Theor. think time'	'Absolute'	'Percent of requests'	'Actual think time'	'Absolute'	'Percent of requests'
login	13	0	313.5	6	0.75	313.5	0	0.0	8.5	12	1.5	3.0	800	100.0	3.0	800	100.0
login	13	1	940.5	7	0.875	940.5	0	0.0	25.5	1	0.125	9.0	0	0.0	9.0	0	0.0
login	13	2	1567.5	0	0.0	1567.5	0	0.0	42.5	0	0.0	15.0	0	0.0	15.0	0	0.0
login	13	3	2194.5	0	0.0	2194.5	0	0.0	59.5	0	0.0	21.0	0	0.0	21.0	0	0.0
login	13	4	2821.5	0	0.0	2821.5	13	1.625	76.5	0	0.0	27.0	0	0.0	27.0	0	0.0
login	13	5	3448.5	0	0.0	3448.5	0	0.0	93.5	6	0.75	33.0	0	0.0	33.0	0	0.0
login	13	6	4075.5	0	0.0	4075.5	0	0.0	110.5	31	3.875	39.0	0	0.0	39.0	0	0.0
login	13	7	4702.5	0	0.0	4702.5	0	0.0	127.5	27	3.375	45.0	0	0.0	45.0	0	0.0
login	13	8	5329.5	0	0.0	5329.5	0	0.0	144.5	24	3.0	51.0	0	0.0	51.0	0	0.0
login	13	9	5956.5	13	1.625	5956.5	0	0.0	161.5	42	5.25	57.0	0	0.0	57.0	0	0.0
login	13	10	6583.5	0	0.0	6583.5	5	0.625	178.5	21	2.625	63.0	0	0.0	63.0	0	0.0
login	13	11	7210.5	0	0.0	7210.5	8	1.0	195.5	25	3.125	69.0	0	0.0	69.0	0	0.0
login	13	12	7837.5	4	0.5	7837.5	0	0.0	212.5	31	3.875	75.0	0	0.0	75.0	0	0.0
login	13	13	8464.5	9	1.125	8464.5	1	0.125	229.5	15	1.875	81.0	0	0.0	81.0	0	0.0
login	13	14	9091.5	0	0.0	9091.5	4	0.5	246.5	20	2.5	87.0	0	0.0	87.0	0	0.0
login	13	15	9718.5	1	0.125	9718.5	9	1.125	263.5	18	2.25	93.0	0	0.0	93.0	0	0.0
login	13	16	10345.5	3	0.375	10345.5	2	0.25	280.5	16	2.0	99.0	0	0.0	99.0	0	0.0
login	13	17	10972.5	10	1.25	10972.5	3	0.375	297.5	18	2.25	105.0	0	0.0	105.0	0	0.0
login	13	18	11599.5	3	0.375	11599.5	4	0.5	314.5	16	2.0	111.0	0	0.0	111.0	0	0.0
login	13	19	12226.5	2	0.25	12226.5	7	0.875	331.5	16	2.0	117.0	0	0.0	117.0	0	0.0
login	13	20	12853.5	4	0.5	12853.5	4	0.5	348.5	16	2.0	123.0	0	0.0	123.0	0	0.0
login	13	21	13480.5	9	1.125	13480.5	2	0.25	365.5	12	1.5	129.0	0	0.0	129.0	0	0.0
login	13	22	14107.5	2	0.25	14107.5	5	0.625	382.5	21	2.625	135.0	0	0.0	135.0	0	0.0
login	13	23	14734.5	2	0.25	14734.5	7	0.875	399.5	14	1.75	141.0	0	0.0	141.0	0	0.0
login	13	24	15361.5	8	1.0	15361.5	4	0.5	416.5	12	1.5	147.0	0	0.0	147.0	0	0.0
login	13	25	15988.5	6	0.75	15988.5	3	0.375	433.5	11	1.375	153.0	0	0.0	153.0	0	0.0
login	13	26	16615.5	1	0.125	16615.5	8	1.0	450.5	13	1.625	159.0	0	0.0	159.0	0	0.0
login	13	27	17242.5	3	0.375	17242.5	3	0.375	467.5	11	1.375	165.0	0	0.0	165.0	0	0.0
login	13	28	17869.5	10	1.25	17869.5	4	0.5	484.5	14	1.75	171.0	0	0.0	171.0	0	0.0
login	13	29	18496.5	3	0.375	18496.5	5	0.625	501.5	18	2.25	177.0	0	0.0	177.0	0	0.0
login	13	30	19123.5	3	0.375	19123.5	6	0.75	518.5	14	1.75	183.0	0	0.0	183.0	0	0.0
login	13	31	19750.5	5	0.625	19750.5	4	0.5	535.5	13	1.625	189.0	0	0.0	189.0	0	0.0
login	13	32	20377.5	8	1.0	20377.5	4	0.5	552.5	13	1.625	195.0	0	0.0	195.0	0	0.0
login	13	33	21004.5	2	0.25	21004.5	6	0.75	569.5	12	1.5	201.0	0	0.0	201.0	0	0.0
login	13	34	21631.5	4	0.5	21631.5	7	0.875	586.5	13	1.625	207.0	0	0.0	207.0	0	0.0
login	13	35	22258.5	8	1.0	22258.5	8	1.0	603.5	12	1.5	213.0	0	0.0	213.0	0	0.0
login	13	36	22885.5	4	0.5	22885.5	4	0.5	620.5	11	1.375	219.0	0	0.0	219.0	0	0.0
login	13	37	23512.5	0	0.0	23512.5	0	0.0	637.5	13	1.625	225.0	0	0.0	225.0	0	0.0
login	13	38	24139.5	0	0.0	24139.5	0	0.0	654.5	11	1.375	231.0	0	0.0	231.0	0	0.0
login	13	39	24766.5	0	0.0	24766.5	0	0.0	671.5	11	1.375	237.0	0	0.0	237.0	0	0.0
login	13	40	25393.5	0	0.0	25393.5	0	0.0	688.5	5	0.625	243.0	0	0.0	243.0	0	0.0
login	13	41	26020.5	0	0.0	26020.5	0	0.0	705.5	10	1.25	249.0	0	0.0	249.0	0	0.0
login	13	42	26647.5	0	0.0	26647.5	0	0.0	722.5	12	1.5	255.0	0	0.0	255.0	0	0.0
login	13	43	27274.5	0	0.0	27274.5	0	0.0	739.5	8	1.0	261.0	0	0.0	261.0	0	0.0
login	13	44	27901.5	0	0.0	27901.5	0	0.0	756.5	5	0.625	267.0	0	0.0	267.0	0	0.0
login	13	45	28528.5	0	0.0	28528.5	0	0.0	773.5	7	0.875	273.0	0	0.0	273.0	0	0.0
login	13	46	29155.5	0	0.0	29155.5	0	0.0	790.5	9	1.125	279.0	0	0.0	279.0	0	0.0
login	13	47	29782.5	0	0.0	29782.5	0	0.0	807.5	5	0.625	285.0	0	0.0	285.0	0	0.0
login	13	48	30409.5	0	0.0	30409.5	0	0.0	824.5	5	0.625	291.0	0	0.0	291.0	0	0.0
login	13	49	31036.5	0	0.0	31036.5	0	0.0	841.5	3	0.375	297.0	0	0.0	297.0	0	0.0
login	13	50	31663.5	0	0.0	31663.5	0	0.0	858.5	10	1.25	303.0	0	0.0	303.0	0	0.0
login	13	51	32290.5	0	0.0	32290.5	0	0.0	875.5	3	0.375	309.0	0	0.0	309.0	0	0.0
login	13	52	32917.5	0	0.0	32917.5	0	0.0	892.5	2	0.25	315.0	0	0.0	315.0	0	0.0
login	13	53	33544.5	0	0.0	33544.5	0	0.0	909.5	6	0.75	321.0	0	0.0	321.0	0	0.0
login	13	54	34171.5	0	0.0	34171.5	0	0.0	926.5	1	0.125	327.0	0	0.0	327.0	0	0.0
login	13	55	34798.5	0	0.0	34798.5	0	0.0	943.5	5	0.625	333.0	0	0.0	333.0	0	0.0
login	13	56	35425.5	0	0.0	35425.5	0	0.0	960.5	4	0.5	339.0	0	0.0	339.0	0	0.0
