"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lxc-reproduction",,,,"User:","root"
"Cmdline:","dstat -m -t -o cont-7.csv 1 10",,,,"Date:","26 Mar 2020 13:22:08 UTC"

"memory usage",,,,"system"
"used","buff","cach","free","time"
333742080.0,127672320.0,546107392.0,1089966080.0,26-03 13:22:08
333611008.0,127672320.0,546189312.0,1090015232.0,26-03 13:22:09
333611008.0,127672320.0,546189312.0,1090015232.0,26-03 13:22:10
333611008.0,127672320.0,546189312.0,1090015232.0,26-03 13:22:11
333611008.0,127672320.0,546189312.0,1090015232.0,26-03 13:22:12
333578240.0,127672320.0,546189312.0,1090048000.0,26-03 13:22:13
333574144.0,127676416.0,546189312.0,1090048000.0,26-03 13:22:14
333574144.0,127676416.0,546189312.0,1090048000.0,26-03 13:22:15
333574144.0,127676416.0,546189312.0,1090048000.0,26-03 13:22:16
333574144.0,127676416.0,546189312.0,1090048000.0,26-03 13:22:17
333574144.0,127676416.0,546189312.0,1090048000.0,26-03 13:22:18
