20875:;./a.out
;Address;Perm;Offset;Device;Inode;Size;Rss;Pss;Referenced;Anonymous;Shared_Hugetlb;Private_Hugetlb;Swap;SwapPss;Locked;Mapping
;00400000;r-xp;00000000;08:01;1539771;4;4;4;4;0;0;0;0;0;0;a.out
;00600000;r--p;00000000;08:01;1539771;4;4;4;4;4;0;0;0;0;0;a.out
;00601000;rw-p;00001000;08:01;1539771;4;4;4;4;4;0;0;0;0;0;a.out
;7f327cd03000;r-xp;00000000;08:01;1794991;1044;260;260;260;0;0;0;0;0;0;libm-2.19.so
;7f327ce08000;---p;00105000;08:01;1794991;2044;0;0;0;0;0;0;0;0;0;libm-2.19.so
;7f327d007000;r--p;00104000;08:01;1794991;4;4;4;4;4;0;0;0;0;0;libm-2.19.so
;7f327d008000;rw-p;00105000;08:01;1794991;4;4;4;4;4;0;0;0;0;0;libm-2.19.so
;7f327d009000;r-xp;00000000;08:01;1794953;1768;956;528;956;0;0;0;0;0;0;libc-2.19.so
;7f327d1c3000;---p;001ba000;08:01;1794953;2048;0;0;0;0;0;0;0;0;0;libc-2.19.so
;7f327d3c3000;r--p;001ba000;08:01;1794953;16;16;16;16;16;0;0;0;0;0;libc-2.19.so
;7f327d3c7000;rw-p;001be000;08:01;1794953;8;8;8;8;8;0;0;0;0;0;libc-2.19.so
;7f327d3c9000;rw-p;00000000;00:00;0;20;12;12;12;12;0;0;0;0;0;
;7f327d3ce000;r-xp;00000000;08:01;2064911;240;60;60;60;0;0;0;0;0;0;libgslcblas.so.0.0.0
;7f327d40a000;---p;0003c000;08:01;2064911;2044;0;0;0;0;0;0;0;0;0;libgslcblas.so.0.0.0
;7f327d609000;r--p;0003b000;08:01;2064911;4;4;4;4;4;0;0;0;0;0;libgslcblas.so.0.0.0
;7f327d60a000;rw-p;0003c000;08:01;2064911;4;4;4;4;4;0;0;0;0;0;libgslcblas.so.0.0.0
;7f327d60b000;r-xp;00000000;08:01;2064906;2372;416;416;416;0;0;0;0;0;0;libgsl.so.19.3.0
;7f327d85c000;---p;00251000;08:01;2064906;2048;0;0;0;0;0;0;0;0;0;libgsl.so.19.3.0
;7f327da5c000;r--p;00251000;08:01;2064906;12;12;12;12;12;0;0;0;0;0;libgsl.so.19.3.0
;7f327da5f000;rw-p;00254000;08:01;2064906;68;68;68;68;52;0;0;0;0;0;libgsl.so.19.3.0
;7f327da70000;r-xp;00000000;08:01;1794933;140;128;64;128;0;0;0;0;0;0;ld-2.19.so
;7f327dc88000;rw-p;00000000;00:00;0;16;16;16;16;16;0;0;0;0;0;
;7f327dc8f000;rw-p;00000000;00:00;0;12;12;12;12;12;0;0;0;0;0;
;7f327dc92000;r--p;00022000;08:01;1794933;4;4;4;4;4;0;0;0;0;0;ld-2.19.so
;7f327dc93000;rw-p;00023000;08:01;1794933;4;4;4;4;4;0;0;0;0;0;ld-2.19.so
;7f327dc94000;rw-p;00000000;00:00;0;4;4;4;4;4;0;0;0;0;0;
;7ffcacee6000;rw-p;00000000;00:00;0;136;8;8;8;8;0;0;0;0;0;[stack]
;7ffcacf16000;r--p;00000000;00:00;0;8;0;0;0;0;0;0;0;0;0;[vvar]
;7ffcacf18000;r-xp;00000000;00:00;0;8;4;0;4;0;0;0;0;0;0;[vdso]
ffffffffff600000;r-xp;00000000;00:00;0;4;0;0;0;0;0;0;0;0;0;[vsyscall]
;=====;====;====;==========;=========;==============;===============;====;=======;======;
;14096;2016;1520;2016;172;0;0;0;0;0;KB;
