Time;Usage default  upgradeplanner
2020-05-26T09:03:00.000Z;2
2020-05-26T09:04:00.000Z;1
2020-05-26T09:05:00.000Z;null
2020-05-26T09:06:00.000Z;null
2020-05-26T09:07:00.000Z;2
2020-05-26T09:08:00.000Z;2
2020-05-26T09:09:00.000Z;2
2020-05-26T09:10:00.000Z;2
2020-05-26T09:11:00.000Z;1
2020-05-26T09:12:00.000Z;1
2020-05-26T09:13:00.000Z;1
2020-05-26T09:14:00.000Z;1
2020-05-26T09:15:00.000Z;2
2020-05-26T09:16:00.000Z;1
2020-05-26T09:17:00.000Z;1
2020-05-26T09:18:00.000Z;1
2020-05-26T09:19:00.000Z;1
2020-05-26T09:20:00.000Z;1
2020-05-26T09:21:00.000Z;2
2020-05-26T09:22:00.000Z;1
2020-05-26T09:23:00.000Z;1
2020-05-26T09:24:00.000Z;1
2020-05-26T09:25:00.000Z;2
2020-05-26T09:26:00.000Z;2
2020-05-26T09:28:00.000Z;null
2020-05-26T09:29:00.000Z;3
2020-05-26T09:30:00.000Z;2
2020-05-26T09:31:00.000Z;2
2020-05-26T09:32:00.000Z;2
2020-05-26T09:33:00.000Z;2
2020-05-26T09:34:00.000Z;1
2020-05-26T09:35:00.000Z;88
2020-05-26T09:36:00.000Z;3
2020-05-26T09:37:00.000Z;2
2020-05-26T09:38:00.000Z;65
2020-05-26T09:39:00.000Z;76
2020-05-26T09:40:00.000Z;47
2020-05-26T09:41:00.000Z;2
2020-05-26T09:42:00.000Z;null
2020-05-26T09:43:00.000Z;2
2020-05-26T09:44:00.000Z;2
2020-05-26T09:45:00.000Z;2
2020-05-26T09:46:00.000Z;2
2020-05-26T09:47:00.000Z;2
2020-05-26T09:48:00.000Z;1
2020-05-26T09:49:00.000Z;2
2020-05-26T09:50:00.000Z;77
2020-05-26T09:51:00.000Z;2
2020-05-26T09:52:00.000Z;2
2020-05-26T09:53:00.000Z;85
2020-05-26T09:54:00.000Z;63
2020-05-26T09:55:00.000Z;25
2020-05-26T09:56:00.000Z;null
2020-05-26T09:57:00.000Z;null
2020-05-26T09:58:00.000Z;2
2020-05-26T09:59:00.000Z;2
2020-05-26T10:00:00.000Z;3
2020-05-26T10:01:00.000Z;2
2020-05-26T10:02:00.000Z;2
2020-05-26T10:03:00.000Z;2
2020-05-26T10:04:00.000Z;93
2020-05-26T10:05:00.000Z;4
2020-05-26T10:06:00.000Z;3
2020-05-26T10:07:00.000Z;17
2020-05-26T10:08:00.000Z;101
2020-05-26T10:09:00.000Z;70
2020-05-26T10:10:00.000Z;12
2020-05-26T10:12:00.000Z;null
2020-05-26T10:13:00.000Z;2
2020-05-26T10:14:00.000Z;2
2020-05-26T10:15:00.000Z;3
2020-05-26T10:16:00.000Z;2
2020-05-26T10:17:00.000Z;2
2020-05-26T10:18:00.000Z;2
2020-05-26T10:19:00.000Z;85
2020-05-26T10:20:00.000Z;2
2020-05-26T10:21:00.000Z;2
2020-05-26T10:22:00.000Z;44
2020-05-26T10:23:00.000Z;100
2020-05-26T10:24:00.000Z;61
2020-05-26T10:25:00.000Z;2
2020-05-26T10:27:00.000Z;206
2020-05-26T10:28:00.000Z;2
2020-05-26T10:29:00.000Z;2
2020-05-26T10:30:00.000Z;3
2020-05-26T10:31:00.000Z;2
2020-05-26T10:32:00.000Z;1
2020-05-26T10:33:00.000Z;1
2020-05-26T10:34:00.000Z;105
2020-05-26T10:35:00.000Z;2
2020-05-26T10:36:00.000Z;2
2020-05-26T10:37:00.000Z;90
2020-05-26T10:38:00.000Z;69
2020-05-26T10:39:00.000Z;40
2020-05-26T10:40:00.000Z;null
2020-05-26T10:41:00.000Z;null
2020-05-26T10:42:00.000Z;3
2020-05-26T10:43:00.000Z;2
2020-05-26T10:44:00.000Z;2
2020-05-26T10:45:00.000Z;2
2020-05-26T10:46:00.000Z;2
2020-05-26T10:47:00.000Z;1
2020-05-26T10:48:00.000Z;65
2020-05-26T10:49:00.000Z;25
2020-05-26T10:50:00.000Z;2
2020-05-26T10:51:00.000Z;2
2020-05-26T10:52:00.000Z;145
2020-05-26T10:53:00.000Z;70
2020-05-26T10:54:00.000Z;2
2020-05-26T10:56:00.000Z;null
2020-05-26T10:57:00.000Z;2
2020-05-26T10:58:00.000Z;2
2020-05-26T10:59:00.000Z;2
2020-05-26T11:00:00.000Z;3
2020-05-26T11:01:00.000Z;1
2020-05-26T11:02:00.000Z;1
2020-05-26T11:03:00.000Z;90
2020-05-26T11:04:00.000Z;2
2020-05-26T11:05:00.000Z;2
2020-05-26T11:06:00.000Z;53
2020-05-26T11:07:00.000Z;80
2020-05-26T11:08:00.000Z;65
2020-05-26T11:09:00.000Z;1
2020-05-26T11:11:00.000Z;null
2020-05-26T11:12:00.000Z;null
2020-05-26T11:13:00.000Z;2
2020-05-26T11:14:00.000Z;3
2020-05-26T11:15:00.000Z;2
2020-05-26T11:16:00.000Z;2
2020-05-26T11:17:00.000Z;2
2020-05-26T11:18:00.000Z;95
2020-05-26T11:19:00.000Z;1
2020-05-26T11:20:00.000Z;2
2020-05-26T11:21:00.000Z;27
2020-05-26T11:22:00.000Z;2
2020-05-26T11:23:00.000Z;null
2020-05-26T11:24:00.000Z;null
2020-05-26T11:25:00.000Z;null
2020-05-26T11:26:00.000Z;3
2020-05-26T11:27:00.000Z;2
2020-05-26T11:28:00.000Z;2
2020-05-26T11:29:00.000Z;2
2020-05-26T11:30:00.000Z;2
2020-05-26T11:31:00.000Z;1
2020-05-26T11:32:00.000Z;54
2020-05-26T11:33:00.000Z;26
2020-05-26T11:34:00.000Z;2
2020-05-26T11:35:00.000Z;2
2020-05-26T11:36:00.000Z;106
2020-05-26T11:37:00.000Z;66
2020-05-26T11:38:00.000Z;19
2020-05-26T11:39:00.000Z;19
2020-05-26T11:40:00.000Z;null
2020-05-26T11:41:00.000Z;2
2020-05-26T11:42:00.000Z;3
2020-05-26T11:43:00.000Z;2
2020-05-26T11:44:00.000Z;2
2020-05-26T11:45:00.000Z;2
2020-05-26T11:46:00.000Z;1
2020-05-26T11:47:00.000Z;78
2020-05-26T11:48:00.000Z;2
2020-05-26T11:49:00.000Z;2
2020-05-26T11:50:00.000Z;47
2020-05-26T11:51:00.000Z;83
2020-05-26T11:52:00.000Z;62
2020-05-26T11:53:00.000Z;15
2020-05-26T11:54:00.000Z;3
2020-05-26T11:55:00.000Z;3
2020-05-26T11:56:00.000Z;4
2020-05-26T11:57:00.000Z;3
2020-05-26T11:58:00.000Z;2
2020-05-26T11:59:00.000Z;2
2020-05-26T12:00:00.000Z;2
2020-05-26T12:01:00.000Z;1
2020-05-26T12:02:00.000Z;1
