Time;Usage default  backend-v1;Usage default  backend-v2
2020-05-26T09:02:25.000Z;null;null
2020-05-26T09:02:30.000Z;null;null
2020-05-26T09:02:35.000Z;null;null
2020-05-26T09:02:40.000Z;null;null
2020-05-26T09:02:45.000Z;null;null
2020-05-26T09:02:50.000Z;null;null
2020-05-26T09:02:55.000Z;null;null
2020-05-26T09:03:00.000Z;1;2
2020-05-26T09:03:05.000Z;null;null
2020-05-26T09:03:10.000Z;null;null
2020-05-26T09:03:15.000Z;null;null
2020-05-26T09:03:20.000Z;null;null
2020-05-26T09:03:25.000Z;null;null
2020-05-26T09:03:30.000Z;null;null
2020-05-26T09:03:35.000Z;null;null
2020-05-26T09:03:40.000Z;null;null
2020-05-26T09:03:45.000Z;null;null
2020-05-26T09:03:50.000Z;null;null
2020-05-26T09:03:55.000Z;null;null
2020-05-26T09:04:00.000Z;1;2
2020-05-26T09:04:05.000Z;null;null
2020-05-26T09:04:10.000Z;null;null
2020-05-26T09:04:15.000Z;null;null
2020-05-26T09:04:20.000Z;null;null
2020-05-26T09:04:25.000Z;null;null
2020-05-26T09:04:30.000Z;null;null
2020-05-26T09:04:35.000Z;null;null
2020-05-26T09:04:40.000Z;null;null
2020-05-26T09:04:45.000Z;null;null
2020-05-26T09:04:50.000Z;null;null
2020-05-26T09:04:55.000Z;null;null
2020-05-26T09:05:00.000Z;2;2
2020-05-26T09:05:05.000Z;null;null
2020-05-26T09:05:10.000Z;null;null
2020-05-26T09:05:15.000Z;null;null
2020-05-26T09:05:20.000Z;null;null
2020-05-26T09:05:25.000Z;null;null
2020-05-26T09:05:30.000Z;null;null
2020-05-26T09:05:35.000Z;null;null
2020-05-26T09:05:40.000Z;null;null
2020-05-26T09:05:45.000Z;null;null
2020-05-26T09:05:50.000Z;null;null
2020-05-26T09:05:55.000Z;null;null
2020-05-26T09:06:00.000Z;null;null
2020-05-26T09:06:05.000Z;null;null
2020-05-26T09:06:10.000Z;null;null
2020-05-26T09:06:15.000Z;null;null
2020-05-26T09:06:20.000Z;null;null
2020-05-26T09:06:25.000Z;null;null
2020-05-26T09:06:30.000Z;null;null
2020-05-26T09:06:35.000Z;null;null
2020-05-26T09:06:40.000Z;null;null
2020-05-26T09:06:45.000Z;null;null
2020-05-26T09:06:50.000Z;null;null
2020-05-26T09:06:55.000Z;null;null
2020-05-26T09:07:00.000Z;33;32
2020-05-26T09:07:05.000Z;null;null
2020-05-26T09:07:10.000Z;null;null
2020-05-26T09:07:15.000Z;null;null
2020-05-26T09:07:20.000Z;null;null
2020-05-26T09:07:25.000Z;null;null
2020-05-26T09:07:30.000Z;null;null
2020-05-26T09:07:35.000Z;null;null
2020-05-26T09:07:40.000Z;null;null
2020-05-26T09:07:45.000Z;null;null
2020-05-26T09:07:50.000Z;null;null
2020-05-26T09:07:55.000Z;null;null
