Time;Usage default  backend-v1;Usage default  backend-v2
2020-05-25T10:38:00.000Z;2;2
2020-05-25T10:39:00.000Z;3;3
2020-05-25T10:40:00.000Z;2;2
2020-05-25T10:41:00.000Z;2;2
2020-05-25T10:42:00.000Z;2;2
2020-05-25T10:43:00.000Z;474;2
2020-05-25T10:44:00.000Z;596;1
2020-05-25T10:45:00.000Z;571;32
2020-05-25T10:46:00.000Z;538;31
2020-05-25T10:47:00.000Z;238;59
2020-05-25T10:48:00.000Z;545;48
2020-05-25T10:49:00.000Z;299;96
2020-05-25T10:50:00.000Z;299;106
2020-05-25T10:51:00.000Z;562;106
2020-05-25T10:52:00.000Z;562;162
2020-05-25T10:53:00.000Z;502;122
2020-05-25T10:54:00.000Z;208;299
2020-05-25T10:55:00.000Z;404;263
2020-05-25T10:56:00.000Z;276;263
2020-05-25T10:57:00.000Z;276;380
2020-05-25T10:58:00.000Z;288;168
2020-05-25T10:59:00.000Z;138;468
2020-05-25T11:00:00.000Z;178;236
2020-05-25T11:01:00.000Z;95;480
2020-05-25T11:02:00.000Z;178;284
2020-05-25T11:03:00.000Z;80;505
2020-05-25T11:04:00.000Z;90;553
2020-05-25T11:05:00.000Z;69;553
2020-05-25T11:06:00.000Z;74;507
2020-05-25T11:07:00.000Z;21;527
2020-05-25T11:08:00.000Z;21;409
2020-05-25T11:09:00.000Z;2;564
2020-05-25T11:10:00.000Z;2;641
2020-05-25T11:11:00.000Z;2;581
2020-05-25T11:12:00.000Z;1;191
2020-05-25T11:15:00.000Z;2;2
2020-05-25T11:16:00.000Z;2;2
2020-05-25T11:17:00.000Z;2;2
2020-05-25T11:18:00.000Z;2;2
2020-05-25T11:19:00.000Z;2;2
2020-05-25T11:20:00.000Z;2;1
2020-05-25T11:21:00.000Z;477;1
2020-05-25T11:22:00.000Z;601;2
2020-05-25T11:23:00.000Z;576;27
2020-05-25T11:24:00.000Z;560;35
2020-05-25T11:25:00.000Z;267;60
2020-05-25T11:26:00.000Z;540;63
2020-05-25T11:27:00.000Z;260;99
2020-05-25T11:28:00.000Z;260;109
2020-05-25T11:29:00.000Z;437;109
2020-05-25T11:30:00.000Z;437;149
2020-05-25T11:31:00.000Z;471;110
2020-05-25T11:32:00.000Z;234;275
2020-05-25T11:33:00.000Z;391;186
2020-05-25T11:34:00.000Z;253;385
2020-05-25T11:35:00.000Z;253;331
2020-05-25T11:36:00.000Z;273;331
2020-05-25T11:37:00.000Z;273;466
2020-05-25T11:38:00.000Z;203;144
2020-05-25T11:39:00.000Z;102;419
2020-05-25T11:40:00.000Z;176;283
2020-05-25T11:41:00.000Z;93;471
2020-05-25T11:42:00.000Z;92;422
2020-05-25T11:43:00.000Z;69;422
2020-05-25T11:44:00.000Z;83;527
2020-05-25T11:45:00.000Z;15;527
2020-05-25T11:46:00.000Z;15;535
2020-05-25T11:47:00.000Z;1;600
2020-05-25T11:48:00.000Z;1;592
2020-05-25T11:49:00.000Z;2;576
2020-05-25T11:50:00.000Z;1;209
2020-05-25T11:52:00.000Z;38;32
2020-05-25T11:53:00.000Z;2;2
2020-05-25T11:54:00.000Z;2;2
2020-05-25T11:55:00.000Z;2;2
2020-05-25T11:56:00.000Z;1;1
2020-05-25T11:57:00.000Z;2;2
2020-05-25T11:58:00.000Z;67;2
2020-05-25T11:59:00.000Z;569;2
2020-05-25T12:00:00.000Z;632;2
2020-05-25T12:01:00.000Z;544;33
2020-05-25T12:02:00.000Z;598;36
2020-05-25T12:03:00.000Z;352;62
2020-05-25T12:04:00.000Z;553;63
2020-05-25T12:05:00.000Z;448;63
2020-05-25T12:06:00.000Z;448;126
2020-05-25T12:07:00.000Z;469;123
2020-05-25T12:08:00.000Z;469;176
2020-05-25T12:09:00.000Z;501;176
2020-05-25T12:10:00.000Z;501;282
2020-05-25T12:11:00.000Z;400;168
2020-05-25T12:12:00.000Z;259;379
2020-05-25T12:13:00.000Z;259;343
2020-05-25T12:14:00.000Z;270;343
2020-05-25T12:15:00.000Z;270;490
2020-05-25T12:16:00.000Z;198;188
2020-05-25T12:17:00.000Z;99;502
2020-05-25T12:18:00.000Z;168;351
2020-05-25T12:19:00.000Z;80;615
2020-05-25T12:20:00.000Z;80;444
2020-05-25T12:21:00.000Z;68;444
2020-05-25T12:22:00.000Z;81;630
2020-05-25T12:23:00.000Z;12;630
2020-05-25T12:24:00.000Z;12;603
2020-05-25T12:25:00.000Z;2;605
2020-05-25T12:26:00.000Z;2;571
2020-05-25T12:27:00.000Z;2;582
2020-05-25T12:28:00.000Z;1;78
2020-05-25T12:30:00.000Z;35;30
2020-05-25T12:31:00.000Z;1;2
2020-05-25T12:32:00.000Z;2;2
2020-05-25T12:33:00.000Z;2;2
2020-05-25T12:34:00.000Z;2;2
2020-05-25T12:35:00.000Z;2;2
2020-05-25T12:36:00.000Z;2;2
2020-05-25T12:37:00.000Z;592;2
2020-05-25T12:38:00.000Z;609;2
2020-05-25T12:39:00.000Z;568;45
2020-05-25T12:40:00.000Z;688;32
2020-05-25T12:41:00.000Z;367;62
2020-05-25T12:42:00.000Z;578;49
2020-05-25T12:43:00.000Z;303;107
2020-05-25T12:44:00.000Z;null;123
2020-05-25T12:45:00.000Z;630;null
2020-05-25T12:46:00.000Z;null;169
2020-05-25T12:47:00.000Z;484;102
2020-05-25T12:48:00.000Z;169;305
2020-05-25T12:49:00.000Z;406;258
2020-05-25T12:50:00.000Z;253;378
2020-05-25T12:51:00.000Z;395;416
2020-05-25T12:52:00.000Z;388;369
2020-05-25T12:53:00.000Z;376;367
2020-05-25T12:54:00.000Z;249;315
2020-05-25T12:55:00.000Z;374;373
2020-05-25T12:56:00.000Z;376;396
2020-05-25T12:57:00.000Z;362;404
2020-05-25T12:58:00.000Z;366;391
2020-05-25T12:59:00.000Z;378;389
2020-05-25T13:00:00.000Z;374;386
2020-05-25T13:01:00.000Z;347;380
2020-05-25T13:02:00.000Z;370;394
2020-05-25T13:03:00.000Z;345;369
2020-05-25T13:04:00.000Z;386;395
2020-05-25T13:05:00.000Z;367;383
2020-05-25T13:06:00.000Z;102;77
2020-05-25T13:08:00.000Z;26;25
2020-05-25T13:09:00.000Z;1;1
2020-05-25T13:10:00.000Z;1;1
2020-05-25T13:11:00.000Z;2;2
2020-05-25T13:12:00.000Z;1;1
2020-05-25T13:13:00.000Z;2;2
2020-05-25T13:14:00.000Z;58;2
2020-05-25T13:15:00.000Z;606;2
2020-05-25T13:16:00.000Z;612;2
2020-05-25T13:17:00.000Z;573;34
2020-05-25T13:18:00.000Z;612;35
2020-05-25T13:19:00.000Z;353;60
2020-05-25T13:20:00.000Z;557;54
2020-05-25T13:21:00.000Z;324;112
2020-05-25T13:22:00.000Z;324;102
2020-05-25T13:23:00.000Z;519;102
2020-05-25T13:24:00.000Z;519;177
2020-05-25T13:25:00.000Z;501;134
2020-05-25T13:26:00.000Z;202;260
2020-05-25T13:27:00.000Z;395;199
2020-05-25T13:28:00.000Z;253;397
2020-05-25T13:29:00.000Z;401;262
2020-05-25T13:30:00.000Z;203;262
2020-05-25T13:31:00.000Z;203;459
2020-05-25T13:32:00.000Z;208;459
2020-05-25T13:33:00.000Z;208;578
2020-05-25T13:34:00.000Z;180;210
2020-05-25T13:35:00.000Z;89;585
2020-05-25T13:36:00.000Z;92;265
2020-05-25T13:37:00.000Z;51;548
2020-05-25T13:38:00.000Z;84;409
2020-05-25T13:39:00.000Z;16;555
2020-05-25T13:40:00.000Z;3;434
2020-05-25T13:41:00.000Z;3;576
2020-05-25T13:42:00.000Z;2;569
2020-05-25T13:43:00.000Z;2;582
2020-05-25T13:44:00.000Z;2;128
2020-05-25T13:46:00.000Z;3;2
2020-05-25T13:47:00.000Z;2;2
2020-05-25T13:48:00.000Z;1;2
2020-05-25T13:49:00.000Z;2;2
2020-05-25T13:50:00.000Z;1;1
2020-05-25T13:51:00.000Z;2;2
2020-05-25T13:52:00.000Z;149;2
2020-05-25T13:53:00.000Z;621;2
2020-05-25T13:54:00.000Z;597;2
2020-05-25T13:55:00.000Z;589;59
2020-05-25T13:56:00.000Z;589;38
2020-05-25T13:57:00.000Z;506;38
2020-05-25T13:58:00.000Z;506;81
2020-05-25T13:59:00.000Z;543;101
2020-05-25T14:00:00.000Z;220;151
2020-05-25T14:01:00.000Z;569;112
2020-05-25T14:02:00.000Z;287;188
2020-05-25T14:03:00.000Z;511;197
2020-05-25T14:04:00.000Z;323;308
2020-05-25T14:05:00.000Z;323;310
2020-05-25T14:06:00.000Z;377;310
2020-05-25T14:07:00.000Z;377;403
2020-05-25T14:08:00.000Z;303;159
2020-05-25T14:09:00.000Z;121;470
2020-05-25T14:10:00.000Z;198;297
2020-05-25T14:11:00.000Z;126;457
2020-05-25T14:12:00.000Z;126;554
2020-05-25T14:13:00.000Z;103;554
2020-05-25T14:14:00.000Z;103;557
2020-05-25T14:15:00.000Z;81;235
2020-05-25T14:16:00.000Z;49;566
2020-05-25T14:17:00.000Z;11;252
2020-05-25T14:18:00.000Z;29;617
2020-05-25T14:19:00.000Z;2;596
2020-05-25T14:20:00.000Z;2;610
2020-05-25T14:21:00.000Z;2;594
2020-05-25T14:22:00.000Z;2;50
2020-05-25T14:24:00.000Z;4;25
2020-05-25T14:25:00.000Z;2;2
2020-05-25T14:26:00.000Z;2;2
2020-05-25T14:27:00.000Z;2;2
2020-05-25T14:28:00.000Z;2;2
2020-05-25T14:29:00.000Z;2;2
2020-05-25T14:30:00.000Z;80;2
2020-05-25T14:31:00.000Z;611;2
2020-05-25T14:32:00.000Z;619;2
2020-05-25T14:33:00.000Z;583;58
2020-05-25T14:34:00.000Z;567;41
2020-05-25T14:35:00.000Z;453;61
2020-05-25T14:36:00.000Z;539;58
2020-05-25T14:37:00.000Z;392;58
2020-05-25T14:38:00.000Z;392;158
2020-05-25T14:39:00.000Z;460;101
2020-05-25T14:40:00.000Z;460;187
2020-05-25T14:41:00.000Z;457;134
2020-05-25T14:42:00.000Z;198;274
2020-05-25T14:43:00.000Z;395;193
2020-05-25T14:44:00.000Z;182;361
2020-05-25T14:45:00.000Z;389;270
2020-05-25T14:46:00.000Z;293;417
2020-05-25T14:47:00.000Z;293;385
2020-05-25T14:48:00.000Z;183;385
2020-05-25T14:49:00.000Z;183;490
2020-05-25T14:50:00.000Z;197;230
2020-05-25T14:51:00.000Z;66;477
2020-05-25T14:52:00.000Z;93;360
2020-05-25T14:53:00.000Z;66;360
2020-05-25T14:54:00.000Z;81;507
2020-05-25T14:55:00.000Z;16;507
2020-05-25T14:56:00.000Z;16;593
2020-05-25T14:57:00.000Z;2;574
2020-05-25T14:58:00.000Z;2;614
2020-05-25T14:59:00.000Z;2;580
2020-05-25T15:00:00.000Z;2;119
2020-05-25T15:02:00.000Z;2;2
2020-05-25T15:03:00.000Z;2;2
2020-05-25T15:04:00.000Z;1;1
2020-05-25T15:05:00.000Z;2;2
2020-05-25T15:06:00.000Z;2;2
2020-05-25T15:07:00.000Z;2;2
2020-05-25T15:08:00.000Z;200;2
2020-05-25T15:09:00.000Z;581;1
2020-05-25T15:10:00.000Z;614;1
2020-05-25T15:11:00.000Z;555;71
2020-05-25T15:12:00.000Z;555;44
2020-05-25T15:13:00.000Z;550;61
2020-05-25T15:14:00.000Z;550;71
2020-05-25T15:15:00.000Z;520;71
2020-05-25T15:16:00.000Z;520;147
2020-05-25T15:17:00.000Z;531;147
2020-05-25T15:18:00.000Z;173;164
2020-05-25T15:19:00.000Z;494;164
2020-05-25T15:20:00.000Z;494;265
2020-05-25T15:21:00.000Z;365;265
2020-05-25T15:22:00.000Z;365;369
2020-05-25T15:23:00.000Z;393;170
2020-05-25T15:24:00.000Z;194;403
2020-05-25T15:25:00.000Z;283;291
2020-05-25T15:26:00.000Z;156;291
2020-05-25T15:27:00.000Z;156;481
2020-05-25T15:28:00.000Z;177;481
2020-05-25T15:29:00.000Z;177;597
2020-05-25T15:30:00.000Z;100;236
2020-05-25T15:31:00.000Z;63;597
2020-05-25T15:32:00.000Z;78;276
2020-05-25T15:33:00.000Z;29;521
2020-05-25T15:34:00.000Z;3;309
2020-05-25T15:35:00.000Z;4;600
2020-05-25T15:36:00.000Z;2;596
2020-05-25T15:37:00.000Z;2;524
2020-05-25T15:38:00.000Z;null;2
2020-05-25T15:40:00.000Z;2;4
2020-05-25T15:41:00.000Z;2;2
2020-05-25T15:42:00.000Z;2;2
2020-05-25T15:43:00.000Z;2;2
2020-05-25T15:44:00.000Z;2;2
2020-05-25T15:45:00.000Z;2;2
2020-05-25T15:46:00.000Z;261;2
2020-05-25T15:47:00.000Z;617;2
2020-05-25T15:48:00.000Z;609;2
2020-05-25T15:49:00.000Z;582;78
2020-05-25T15:50:00.000Z;582;47
2020-05-25T15:51:00.000Z;508;47
2020-05-25T15:52:00.000Z;508;83
2020-05-25T15:53:00.000Z;515;83
2020-05-25T15:54:00.000Z;515;143
2020-05-25T15:55:00.000Z;487;143
2020-05-25T15:56:00.000Z;487;195
2020-05-25T15:57:00.000Z;435;195
2020-05-25T15:58:00.000Z;435;277
2020-05-25T15:59:00.000Z;437;277
2020-05-25T16:00:00.000Z;186;370
2020-05-25T16:01:00.000Z;383;160
2020-05-25T16:02:00.000Z;228;382
2020-05-25T16:03:00.000Z;295;283
2020-05-25T16:04:00.000Z;195;283
2020-05-25T16:05:00.000Z;195;512
2020-05-25T16:06:00.000Z;172;512
2020-05-25T16:07:00.000Z;72;453
2020-05-25T16:08:00.000Z;98;254
2020-05-25T16:09:00.000Z;65;545
2020-05-25T16:10:00.000Z;84;371
2020-05-25T16:11:00.000Z;14;547
2020-05-25T16:12:00.000Z;4;440
2020-05-25T16:13:00.000Z;2;618
2020-05-25T16:14:00.000Z;2;585
2020-05-25T16:15:00.000Z;2;595
2020-05-25T16:16:00.000Z;null;12
2020-05-25T16:18:00.000Z;4;5
2020-05-25T16:19:00.000Z;2;2
2020-05-25T16:20:00.000Z;2;2
2020-05-25T16:21:00.000Z;2;2
2020-05-25T16:22:00.000Z;2;1
2020-05-25T16:23:00.000Z;2;2
2020-05-25T16:24:00.000Z;259;1
2020-05-25T16:25:00.000Z;622;2
2020-05-25T16:26:00.000Z;602;1
2020-05-25T16:27:00.000Z;560;65
2020-05-25T16:28:00.000Z;560;57
2020-05-25T16:29:00.000Z;568;57
2020-05-25T16:30:00.000Z;193;86
2020-05-25T16:31:00.000Z;490;100
2020-05-25T16:32:00.000Z;233;170
2020-05-25T16:33:00.000Z;512;113
2020-05-25T16:34:00.000Z;268;205
2020-05-25T16:35:00.000Z;527;178
2020-05-25T16:36:00.000Z;405;178
2020-05-25T16:37:00.000Z;405;359
2020-05-25T16:38:00.000Z;384;148
2020-05-25T16:39:00.000Z;179;424
2020-05-25T16:40:00.000Z;288;311
2020-05-25T16:41:00.000Z;110;508
2020-05-25T16:42:00.000Z;190;370
2020-05-25T16:43:00.000Z;159;370
2020-05-25T16:44:00.000Z;159;472
2020-05-25T16:45:00.000Z;97;242
2020-05-25T16:46:00.000Z;65;579
2020-05-25T16:47:00.000Z;81;336
2020-05-25T16:48:00.000Z;32;540
2020-05-25T16:49:00.000Z;3;337
2020-05-25T16:50:00.000Z;2;584
2020-05-25T16:51:00.000Z;2;617
2020-05-25T16:52:00.000Z;2;578
2020-05-25T16:53:00.000Z;2;471
2020-05-25T16:54:00.000Z;1;3
2020-05-25T16:55:00.000Z;2;2
