Time;Usage default  upgradeplanner
2020-05-25T10:38:00.000Z;2
2020-05-25T10:39:00.000Z;2
2020-05-25T10:40:00.000Z;2
2020-05-25T10:41:00.000Z;2
2020-05-25T10:42:00.000Z;1
2020-05-25T10:43:00.000Z;186
2020-05-25T10:44:00.000Z;4
2020-05-25T10:45:00.000Z;78
2020-05-25T10:46:00.000Z;54
2020-05-25T10:47:00.000Z;81
2020-05-25T10:48:00.000Z;51
2020-05-25T10:49:00.000Z;67
2020-05-25T10:50:00.000Z;39
2020-05-25T10:51:00.000Z;55
2020-05-25T10:52:00.000Z;59
2020-05-25T10:53:00.000Z;51
2020-05-25T10:54:00.000Z;70
2020-05-25T10:55:00.000Z;35
2020-05-25T10:56:00.000Z;49
2020-05-25T10:57:00.000Z;35
2020-05-25T10:58:00.000Z;44
2020-05-25T10:59:00.000Z;50
2020-05-25T11:00:00.000Z;55
2020-05-25T11:01:00.000Z;39
2020-05-25T11:02:00.000Z;29
2020-05-25T11:03:00.000Z;40
2020-05-25T11:04:00.000Z;32
2020-05-25T11:05:00.000Z;34
2020-05-25T11:06:00.000Z;32
2020-05-25T11:07:00.000Z;42
2020-05-25T11:08:00.000Z;38
2020-05-25T11:09:00.000Z;9
2020-05-25T11:10:00.000Z;3
2020-05-25T11:11:00.000Z;3
2020-05-25T11:12:00.000Z;3
2020-05-25T11:13:00.000Z;3
2020-05-25T11:14:00.000Z;2
2020-05-25T11:15:00.000Z;2
2020-05-25T11:16:00.000Z;3
2020-05-25T11:17:00.000Z;4
2020-05-25T11:18:00.000Z;2
2020-05-25T11:19:00.000Z;2
2020-05-25T11:20:00.000Z;1
2020-05-25T11:21:00.000Z;204
2020-05-25T11:22:00.000Z;4
2020-05-25T11:23:00.000Z;101
2020-05-25T11:24:00.000Z;54
2020-05-25T11:25:00.000Z;75
2020-05-25T11:26:00.000Z;54
2020-05-25T11:27:00.000Z;58
2020-05-25T11:28:00.000Z;42
2020-05-25T11:29:00.000Z;49
2020-05-25T11:30:00.000Z;53
2020-05-25T11:31:00.000Z;35
