Time;Usage default  upgradeplanner;Limit default  backend-v1
2020-05-25T10:04:45.000Z;null;null
2020-05-25T10:05:00.000Z;34;300
2020-05-25T10:05:15.000Z;null;null
2020-05-25T10:05:30.000Z;null;null
2020-05-25T10:05:45.000Z;null;null
2020-05-25T10:06:00.000Z;40;500
2020-05-25T10:06:15.000Z;null;null
2020-05-25T10:06:30.000Z;null;null
2020-05-25T10:06:45.000Z;null;null
2020-05-25T10:07:00.000Z;30;200
2020-05-25T10:07:15.000Z;null;null
2020-05-25T10:07:30.000Z;null;null
2020-05-25T10:07:45.000Z;null;null
2020-05-25T10:08:00.000Z;33;300
2020-05-25T10:08:15.000Z;null;null
2020-05-25T10:08:30.000Z;null;null
2020-05-25T10:08:45.000Z;null;null
2020-05-25T10:09:00.000Z;39;100
2020-05-25T10:09:15.000Z;null;null
2020-05-25T10:09:30.000Z;null;null
2020-05-25T10:09:45.000Z;null;null
2020-05-25T10:10:00.000Z;38;100
2020-05-25T10:10:15.000Z;null;null
2020-05-25T10:10:30.000Z;null;null
2020-05-25T10:10:45.000Z;null;null
2020-05-25T10:11:00.000Z;26;0
2020-05-25T10:11:15.000Z;null;null
2020-05-25T10:11:30.000Z;null;null
2020-05-25T10:11:45.000Z;null;null
2020-05-25T10:12:00.000Z;5;0
2020-05-25T10:12:15.000Z;null;null
2020-05-25T10:12:30.000Z;null;null
2020-05-25T10:12:45.000Z;null;null
2020-05-25T10:13:00.000Z;3;0
2020-05-25T10:13:15.000Z;null;null
2020-05-25T10:13:30.000Z;null;null
2020-05-25T10:13:45.000Z;null;null
2020-05-25T10:14:00.000Z;4;0
2020-05-25T10:14:15.000Z;null;null
2020-05-25T10:14:30.000Z;null;null
2020-05-25T10:14:45.000Z;null;null
2020-05-25T10:15:00.000Z;null;null
2020-05-25T10:15:15.000Z;null;null
2020-05-25T10:15:30.000Z;null;null
2020-05-25T10:15:45.000Z;null;null
2020-05-25T10:16:00.000Z;null;1300
2020-05-25T10:16:15.000Z;null;null
