13:33:44;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T13:28:20.000Z;null;null;True;Initialized;null
mongo-db-747df89945-pcxxt;0.0;Running;2020-05-17T13:28:21.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-qspf7;871.0;Running;2020-05-17T13:28:42.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-6c7nf;0.0;Running;2020-05-17T13:28:43.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-67rwv;0.0;Running;2020-05-17T13:28:19.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-fdsg2;0.0;Running;2020-05-17T13:28:20.000Z;null;null;True;Initialized;null
total;871
13:33:45;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T13:28:20.000Z;null;null;True;Initialized;null
mongo-db-747df89945-pcxxt;0.0;Running;2020-05-17T13:28:21.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-qspf7;871.0;Running;2020-05-17T13:28:42.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-6c7nf;0.0;Running;2020-05-17T13:28:43.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-67rwv;0.0;Running;2020-05-17T13:28:19.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-fdsg2;0.0;Running;2020-05-17T13:28:20.000Z;null;null;True;Initialized;null
total;871
13:33:46;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T13:28:20.000Z;null;null;True;Initialized;null
mongo-db-747df89945-pcxxt;0.0;Running;2020-05-17T13:28:21.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-qspf7;871.0;Running;2020-05-17T13:28:42.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-6c7nf;0.0;Running;2020-05-17T13:28:43.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-67rwv;0.0;Running;2020-05-17T13:28:19.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-fdsg2;0.0;Running;2020-05-17T13:28:20.000Z;null;null;True;Initialized;null
total;871
13:33:48;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T13:28:20.000Z;null;null;True;Initialized;null
mongo-db-747df89945-pcxxt;0.0;Running;2020-05-17T13:28:21.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-qspf7;871.0;Running;2020-05-17T13:28:42.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-6c7nf;0.0;Running;2020-05-17T13:28:43.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-67rwv;0.0;Running;2020-05-17T13:28:19.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-fdsg2;0.0;Running;2020-05-17T13:28:20.000Z;null;null;True;Initialized;null
total;871
13:33:49;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T13:28:20.000Z;null;null;True;Initialized;null
mongo-db-747df89945-pcxxt;0.0;Running;2020-05-17T13:28:21.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-qspf7;871.0;Running;2020-05-17T13:28:42.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-6c7nf;0.0;Running;2020-05-17T13:28:43.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-67rwv;0.0;Running;2020-05-17T13:28:19.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-fdsg2;0.0;Running;2020-05-17T13:28:20.000Z;null;null;True;Initialized;null
total;871
13:33:50;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T13:28:20.000Z;null;null;True;Initialized;null
mongo-db-747df89945-pcxxt;0.0;Running;2020-05-17T13:28:21.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-qspf7;871.0;Running;2020-05-17T13:28:42.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-6c7nf;0.0;Running;2020-05-17T13:28:43.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-67rwv;0.0;Running;2020-05-17T13:28:19.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-fdsg2;0.0;Running;2020-05-17T13:28:20.000Z;null;null;True;Initialized;null
total;871
13:33:51;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T13:28:20.000Z;null;null;True;Initialized;null
mongo-db-747df89945-pcxxt;0.0;Running;2020-05-17T13:28:21.000Z;null;null;True;Initialized;null
