'Request type'	'Load'	'Bucket'	'Start time'	'Absolute'	'Percent of requests'	'End time'	'Absolute'	'Percent of requests'	'Residence time'	'Absolute'	'Percent of requests'	'Theor. think time'	'Absolute'	'Percent of requests'	'Actual think time'	'Absolute'	'Percent of requests'
login	16	0	751.0	16	0.8597528210639441	751.0	13	0.6985491671144546	5.0	0	0.0	3.0	1861	100.0	3.0	1861	100.0
login	16	1	2253.0	16	0.8597528210639441	2253.0	11	0.5910800644814616	15.0	0	0.0	9.0	0	0.0	9.0	0	0.0
login	16	2	3755.0	3	0.16120365394948952	3755.0	11	0.5910800644814616	25.0	0	0.0	15.0	0	0.0	15.0	0	0.0
login	16	3	5257.0	17	0.9134873723804406	5257.0	11	0.5910800644814616	35.0	0	0.0	21.0	0	0.0	21.0	0	0.0
login	16	4	6759.0	16	0.8597528210639441	6759.0	6	0.32240730789897903	45.0	0	0.0	27.0	0	0.0	27.0	0	0.0
login	16	5	8261.0	0	0.0	8261.0	12	0.6448146157979581	55.0	0	0.0	33.0	0	0.0	33.0	0	0.0
login	16	6	9763.0	16	0.8597528210639441	9763.0	4	0.21493820526598603	65.0	0	0.0	39.0	0	0.0	39.0	0	0.0
login	16	7	11265.0	0	0.0	11265.0	16	0.8597528210639441	75.0	0	0.0	45.0	0	0.0	45.0	0	0.0
login	16	8	12767.0	16	0.8597528210639441	12767.0	5	0.2686727565824825	85.0	0	0.0	51.0	0	0.0	51.0	0	0.0
login	16	9	14269.0	0	0.0	14269.0	11	0.5910800644814616	95.0	0	0.0	57.0	0	0.0	57.0	0	0.0
login	16	10	15771.0	16	0.8597528210639441	15771.0	10	0.537345513164965	105.0	2	0.10746910263299302	63.0	0	0.0	63.0	0	0.0
login	16	11	17273.0	13	0.6985491671144546	17273.0	6	0.32240730789897903	115.0	0	0.0	69.0	0	0.0	69.0	0	0.0
login	16	12	18775.0	3	0.16120365394948952	18775.0	12	0.6448146157979581	125.0	2	0.10746910263299302	75.0	0	0.0	75.0	0	0.0
login	16	13	20277.0	16	0.8597528210639441	20277.0	4	0.21493820526598603	135.0	0	0.0	81.0	0	0.0	81.0	0	0.0
login	16	14	21779.0	0	0.0	21779.0	16	0.8597528210639441	145.0	1	0.05373455131649651	87.0	0	0.0	87.0	0	0.0
login	16	15	23281.0	16	0.8597528210639441	23281.0	7	0.37614185921547555	155.0	2	0.10746910263299302	93.0	0	0.0	93.0	0	0.0
login	16	16	24783.0	2	0.10746910263299302	24783.0	9	0.4836109618484686	165.0	3	0.16120365394948952	99.0	0	0.0	99.0	0	0.0
login	16	17	26285.0	14	0.7522837184309511	26285.0	13	0.6985491671144546	175.0	3	0.16120365394948952	105.0	0	0.0	105.0	0	0.0
login	16	18	27787.0	16	0.8597528210639441	27787.0	6	0.32240730789897903	185.0	4	0.21493820526598603	111.0	0	0.0	111.0	0	0.0
login	16	19	29289.0	0	0.0	29289.0	13	0.6985491671144546	195.0	8	0.42987641053197206	117.0	0	0.0	117.0	0	0.0
login	16	20	30791.0	16	0.8597528210639441	30791.0	8	0.42987641053197206	205.0	4	0.21493820526598603	123.0	0	0.0	123.0	0	0.0
login	16	21	32293.0	0	0.0	32293.0	8	0.42987641053197206	215.0	2	0.10746910263299302	129.0	0	0.0	129.0	0	0.0
login	16	22	33795.0	16	0.8597528210639441	33795.0	12	0.6448146157979581	225.0	2	0.10746910263299302	135.0	0	0.0	135.0	0	0.0
login	16	23	35297.0	16	0.8597528210639441	35297.0	4	0.21493820526598603	235.0	3	0.16120365394948952	141.0	0	0.0	141.0	0	0.0
login	16	24	36799.0	0	0.0	36799.0	12	0.6448146157979581	245.0	6	0.32240730789897903	147.0	0	0.0	147.0	0	0.0
login	16	25	38301.0	16	0.8597528210639441	38301.0	5	0.2686727565824825	255.0	4	0.21493820526598603	153.0	0	0.0	153.0	0	0.0
login	16	26	39803.0	0	0.0	39803.0	15	0.8060182697474476	265.0	8	0.42987641053197206	159.0	0	0.0	159.0	0	0.0
login	16	27	41305.0	16	0.8597528210639441	41305.0	6	0.32240730789897903	275.0	11	0.5910800644814616	165.0	0	0.0	165.0	0	0.0
login	16	28	42807.0	0	0.0	42807.0	10	0.537345513164965	285.0	5	0.2686727565824825	171.0	0	0.0	171.0	0	0.0
login	16	29	44309.0	16	0.8597528210639441	44309.0	12	0.6448146157979581	295.0	9	0.4836109618484686	177.0	0	0.0	177.0	0	0.0
login	16	30	45811.0	16	0.8597528210639441	45811.0	5	0.2686727565824825	305.0	14	0.7522837184309511	183.0	0	0.0	183.0	0	0.0
login	16	31	47313.0	0	0.0	47313.0	15	0.8060182697474476	315.0	3	0.16120365394948952	189.0	0	0.0	189.0	0	0.0
login	16	32	48815.0	16	0.8597528210639441	48815.0	6	0.32240730789897903	325.0	12	0.6448146157979581	195.0	0	0.0	195.0	0	0.0
login	16	33	50317.0	0	0.0	50317.0	10	0.537345513164965	335.0	6	0.32240730789897903	201.0	0	0.0	201.0	0	0.0
login	16	34	51819.0	16	0.8597528210639441	51819.0	13	0.6985491671144546	345.0	2	0.10746910263299302	207.0	0	0.0	207.0	0	0.0
login	16	35	53321.0	16	0.8597528210639441	53321.0	4	0.21493820526598603	355.0	5	0.2686727565824825	213.0	0	0.0	213.0	0	0.0
login	16	36	54823.0	0	0.0	54823.0	15	0.8060182697474476	365.0	3	0.16120365394948952	219.0	0	0.0	219.0	0	0.0
login	16	37	56325.0	16	0.8597528210639441	56325.0	6	0.32240730789897903	375.0	7	0.37614185921547555	225.0	0	0.0	225.0	0	0.0
login	16	38	57827.0	0	0.0	57827.0	10	0.537345513164965	385.0	12	0.6448146157979581	231.0	0	0.0	231.0	0	0.0
login	16	39	59329.0	16	0.8597528210639441	59329.0	11	0.5910800644814616	395.0	16	0.8597528210639441	237.0	0	0.0	237.0	0	0.0
login	16	40	60831.0	16	0.8597528210639441	60831.0	5	0.2686727565824825	405.0	20	1.07469102632993	243.0	0	0.0	243.0	0	0.0
login	16	41	62333.0	0	0.0	62333.0	16	0.8597528210639441	415.0	18	0.9672219236969372	249.0	0	0.0	249.0	0	0.0
login	16	42	63835.0	16	0.8597528210639441	63835.0	5	0.2686727565824825	425.0	15	0.8060182697474476	255.0	0	0.0	255.0	0	0.0
login	16	43	65337.0	0	0.0	65337.0	11	0.5910800644814616	435.0	15	0.8060182697474476	261.0	0	0.0	261.0	0	0.0
login	16	44	66839.0	16	0.8597528210639441	66839.0	9	0.4836109618484686	445.0	9	0.4836109618484686	267.0	0	0.0	267.0	0	0.0
login	16	45	68341.0	14	0.7522837184309511	68341.0	7	0.37614185921547555	455.0	11	0.5910800644814616	273.0	0	0.0	273.0	0	0.0
login	16	46	69843.0	2	0.10746910263299302	69843.0	12	0.6448146157979581	465.0	8	0.42987641053197206	279.0	0	0.0	279.0	0	0.0
login	16	47	71345.0	16	0.8597528210639441	71345.0	9	0.4836109618484686	475.0	20	1.07469102632993	285.0	0	0.0	285.0	0	0.0
login	16	48	72847.0	0	0.0	72847.0	11	0.5910800644814616	485.0	31	1.6657710908113919	291.0	0	0.0	291.0	0	0.0
login	16	49	74349.0	16	0.8597528210639441	74349.0	10	0.537345513164965	495.0	27	1.4508328855454058	297.0	0	0.0	297.0	0	0.0
login	16	50	75851.0	16	0.8597528210639441	75851.0	7	0.37614185921547555	505.0	28	1.5045674368619022	303.0	0	0.0	303.0	0	0.0
login	16	51	77353.0	0	0.0	77353.0	15	0.8060182697474476	515.0	24	1.2896292315959161	309.0	0	0.0	309.0	0	0.0
login	16	52	78855.0	16	0.8597528210639441	78855.0	5	0.2686727565824825	525.0	12	0.6448146157979581	315.0	0	0.0	315.0	0	0.0
login	16	53	80357.0	0	0.0	80357.0	11	0.5910800644814616	535.0	11	0.5910800644814616	321.0	0	0.0	321.0	0	0.0
login	16	54	81859.0	16	0.8597528210639441	81859.0	10	0.537345513164965	545.0	13	0.6985491671144546	327.0	0	0.0	327.0	0	0.0
login	16	55	83361.0	16	0.8597528210639441	83361.0	7	0.37614185921547555	555.0	15	0.8060182697474476	333.0	0	0.0	333.0	0	0.0
login	16	56	84863.0	0	0.0	84863.0	15	0.8060182697474476	565.0	8	0.42987641053197206	339.0	0	0.0	339.0	0	0.0
login	16	57	86365.0	16	0.8597528210639441	86365.0	7	0.37614185921547555	575.0	10	0.537345513164965	345.0	0	0.0	345.0	0	0.0
login	16	58	87867.0	0	0.0	87867.0	9	0.4836109618484686	585.0	12	0.6448146157979581	351.0	0	0.0	351.0	0	0.0
login	16	59	89369.0	16	0.8597528210639441	89369.0	12	0.6448146157979581	595.0	15	0.8060182697474476	357.0	0	0.0	357.0	0	0.0
login	16	60	90871.0	16	0.8597528210639441	90871.0	5	0.2686727565824825	605.0	11	0.5910800644814616	363.0	0	0.0	363.0	0	0.0
login	16	61	92373.0	0	0.0	92373.0	15	0.8060182697474476	615.0	11	0.5910800644814616	369.0	0	0.0	369.0	0	0.0
login	16	62	93875.0	16	0.8597528210639441	93875.0	7	0.37614185921547555	625.0	16	0.8597528210639441	375.0	0	0.0	375.0	0	0.0
login	16	63	95377.0	0	0.0	95377.0	9	0.4836109618484686	635.0	12	0.6448146157979581	381.0	0	0.0	381.0	0	0.0
login	16	64	96879.0	16	0.8597528210639441	96879.0	12	0.6448146157979581	645.0	8	0.42987641053197206	387.0	0	0.0	387.0	0	0.0
login	16	65	98381.0	16	0.8597528210639441	98381.0	7	0.37614185921547555	655.0	9	0.4836109618484686	393.0	0	0.0	393.0	0	0.0
login	16	66	99883.0	0	0.0	99883.0	13	0.6985491671144546	665.0	3	0.16120365394948952	399.0	0	0.0	399.0	0	0.0
login	16	67	101385.0	16	0.8597528210639441	101385.0	9	0.4836109618484686	675.0	13	0.6985491671144546	405.0	0	0.0	405.0	0	0.0
login	16	68	102887.0	14	0.7522837184309511	102887.0	7	0.37614185921547555	685.0	12	0.6448146157979581	411.0	0	0.0	411.0	0	0.0
login	16	69	104389.0	2	0.10746910263299302	104389.0	13	0.6985491671144546	695.0	20	1.07469102632993	417.0	0	0.0	417.0	0	0.0
