Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
1,;300s,;261,;0.87,;0%,;0.728ms;
2,;300s,;508,;1.693,;0%,;0.69ms;
3,;300s,;767,;2.557,;0%,;1.612ms;
4,;300s,;1037,;3.457,;0%,;1.248ms;
5,;300s,;1289,;4.297,;0%,;1.11ms;
6,;300s,;1426,;4.753,;0%,;1.622ms;
7,;300s,;1526,;5.087,;0%,;1.463ms;
8,;300s,;1532,;5.107,;0%,;1.516ms;
9,;300s,;1658,;5.527,;0%,;1.766ms;
10,;300s,;1826,;6.087,;0%,;1.7ms;
11,;300s,;1850,;6.167,;0%,;1.782ms;
12,;300s,;1969,;6.563,;0%,;1.71ms;
13,;300s,;1963,;6.543,;0%,;0.929ms;
14,;300s,;2005,;6.683,;0%,;1.376ms;
15,;300s,;2056,;6.853,;0%,;1.154ms;
16,;300s,;2099,;6.997,;0%,;1.1ms;
17,;300s,;2166,;7.22,;0%,;1.272ms;
18,;300s,;2183,;7.277,;0%,;0.967ms;
19,;300s,;2266,;7.553,;0%,;1.086ms;
20,;300s,;2345,;7.817,;0%,;1.57ms;
25,;300s,;2515,;8.383,;0%,;1.386ms;
30,;300s,;2673,;8.91,;0%,;1.427ms;
35,;300s,;2739,;9.13,;0%,;1.885ms;
40,;300s,;2886,;9.62,;0%,;1.662ms;
45,;300s,;2885,;9.617,;0.035%,;1.624ms;
50,;300s,;2953,;9.843,;0%,;1.937ms;
55,;300s,;3029,;10.097,;0%,;1.36ms;
60,;300s,;3061,;10.203,;0%,;0.997ms;
65,;300s,;3190,;10.633,;1.567%,;1.905ms;
70,;300s,;3359,;11.197,;8.604%,;2.895ms;
75,;300s,;3639,;12.13,;14.619%,;1.315ms;
80,;300s,;3667,;12.223,;9.572%,;1.022ms;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;25;30;35;40;45;50;55;60;65;70;75;80;
50.0%;7.291ms.;6.458ms.;5.864ms.;5.028ms.;4.793ms.;5.889ms.;7.88ms.;20.828ms.;22.036ms.;17.349ms.;37.976ms.;30.268ms.;43.206ms.;49.185ms.;61.877ms.;54.99ms.;63.808ms.;62.899ms.;70.643ms.;67.483ms.;88.841ms.;97.672ms.;107.633ms.;117.883ms.;115.857ms.;122.324ms.;129.062ms.;138.492ms.;149.062ms.;145.369ms.;153.254ms.;1354.251ms.;
90.0%;10.718ms.;10.899ms.;11.824ms.;8.302ms.;10.515ms.;21.422ms.;40.265ms.;65.008ms.;66.203ms.;62.032ms.;84.067ms.;76.636ms.;89.207ms.;96.854ms.;104.771ms.;95.937ms.;109.692ms.;112.572ms.;123.178ms.;111.54ms.;141.604ms.;166.381ms.;182.771ms.;185.648ms.;197.416ms.;182.762ms.;197.829ms.;208.845ms.;231.045ms.;210.87ms.;305.782ms.;1716.206ms.;
95.0%;12.593ms.;13.948ms.;21.253ms.;12.065ms.;16.728ms.;34.014ms.;52.363ms.;75.987ms.;77.269ms.;76.515ms.;94.066ms.;85.809ms.;99.434ms.;108.761ms.;118.542ms.;104.49ms.;122.525ms.;124.502ms.;146.496ms.;138.445ms.;167.748ms.;194.844ms.;209.464ms.;216.175ms.;239.563ms.;208.911ms.;228.438ms.;240.842ms.;270.792ms.;248.608ms.;440.619ms.;1861.877ms.;
99.0%;22.918ms.;35.405ms.;41.3ms.;34.819ms.;38.169ms.;57.763ms.;81.517ms.;119.767ms.;96.509ms.;98.014ms.;121.032ms.;140.031ms.;128.373ms.;157.991ms.;165.709ms.;150.204ms.;192.053ms.;197.581ms.;303.274ms.;282.807ms.;379.083ms.;626.553ms.;913.555ms.;1079.999ms.;1896.897ms.;2422.551ms.;2375.489ms.;2785.911ms.;3074.568ms.;2927.315ms.;3479.106ms.;2737.914ms.;
99.9%;33.326ms.;48.085ms.;114.642ms.;50.073ms.;122.111ms.;2038.17ms.;268.444ms.;341.857ms.;375.056ms.;332.031ms.;319.475ms.;300.357ms.;304.372ms.;325.761ms.;408.9ms.;358.64ms.;444.592ms.;1035.236ms.;740.465ms.;1228.353ms.;1311.725ms.;1948.924ms.;2582.434ms.;2469.622ms.;3274.725ms.;3547.12ms.;3983.708ms.;4356.664ms.;4639.702ms.;4305.588ms.;4405.067ms.;4021.895ms.;
99.99%;33.326ms.;48.085ms.;114.642ms.;50.337ms.;149.188ms.;2040.471ms.;283.682ms.;368.572ms.;390.875ms.;374.105ms.;419.739ms.;380.892ms.;358.077ms.;448.141ms.;582.35ms.;389.489ms.;508.116ms.;1234.121ms.;867.967ms.;1486.954ms.;1629.355ms.;2116.594ms.;2595.208ms.;2900.3ms.;3837.835ms.;3632.517ms.;4401.876ms.;4403.144ms.;4808.583ms.;4435.617ms.;4772.912ms.;4027.573ms.;
