Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
1,;300s,;230,;0.767,;0%,;1.395ms;
2,;300s,;398,;1.327,;0%,;1.1ms;
3,;300s,;606,;2.02,;0%,;2.468ms;
4,;300s,;742,;2.473,;0%,;1.751ms;
5,;300s,;798,;2.66,;0%,;2.626ms;
6,;300s,;696,;2.32,;0%,;2.294ms;
7,;300s,;753,;2.51,;0%,;2.136ms;
8,;300s,;761,;2.537,;0.131%,;2.535ms;
9,;300s,;808,;2.693,;0%,;2.52ms;
10,;300s,;830,;2.767,;0%,;1.966ms;
12,;300s,;780,;2.6,;0%,;1.597ms;
14,;300s,;840,;2.8,;0%,;2.15ms;
16,;300s,;829,;2.763,;0%,;1.525ms;
18,;300s,;848,;2.827,;0%,;1.538ms;
20,;300s,;842,;2.807,;0%,;1.052ms;

;1;2;3;4;5;6;7;8;9;10;12;14;16;18;20;
50.0%;7.235ms.;6.275ms.;5.678ms.;6.78ms.;12.55ms.;82.212ms.;95.812ms.;99.075ms.;103.823ms.;105.3ms.;129.341ms.;197.284ms.;218.246ms.;212.065ms.;290.014ms.;
90.0%;44.613ms.;69.377ms.;79.794ms.;100.543ms.;109.46ms.;181.898ms.;199.57ms.;203.309ms.;204.73ms.;279.007ms.;288.126ms.;382.376ms.;497.893ms.;402.297ms.;498.189ms.;
95.0%;54.773ms.;80.035ms.;92.466ms.;162.917ms.;186.056ms.;198.143ms.;215.584ms.;281.07ms.;277.631ms.;296.941ms.;309.823ms.;401.928ms.;582.16ms.;483.354ms.;580.688ms.;
99.0%;59.015ms.;89.475ms.;171.606ms.;199.829ms.;277.669ms.;280.691ms.;402.89ms.;385.196ms.;478.496ms.;665.599ms.;403.847ms.;497.254ms.;692.748ms.;589.412ms.;935.855ms.;
99.9%;63.734ms.;103.293ms.;200.608ms.;276.268ms.;683.057ms.;610.045ms.;1010.292ms.;1296.308ms.;1204.126ms.;1386.043ms.;2583.638ms.;1795.879ms.;3604.172ms.;1512.39ms.;2411.209ms.;
99.99%;63.734ms.;103.293ms.;200.608ms.;276.268ms.;683.057ms.;610.045ms.;1010.292ms.;1296.308ms.;1204.126ms.;1386.043ms.;2583.638ms.;1795.879ms.;3604.172ms.;1512.39ms.;2411.209ms.;
