Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy;;;;;;;;;;;;;
1,;300s,;238,;0.793,;0%,;1.154ms;;;;;;;;;;;;;
2,;300s,;434,;1.447,;0%,;1.5ms;;;;;;;;;;;;;
3,;300s,;657,;2.19,;0%,;9.51ms;;;;;;;;;;;;;
4,;300s,;889,;2.963,;0%,;1.78ms;;;;;;;;;;;;;
5,;300s,;1039,;3.463,;0%,;1.827ms;;;;;;;;;;;;;
6,;300s,;783,;2.61,;0%,;2.02ms;;;;;;;;;;;;;
7,;300s,;883,;2.943,;0%,;1.691ms;;;;;;;;;;;;;
8,;300s,;857,;2.857,;0%,;2.239ms;;;;;;;;;;;;;
9,;300s,;900,;3,;0%,;1.92ms;;;;;;;;;;;;;
10,;300s,;940,;3.133,;0%,;2.119ms;;;;;;;;;;;;;
11,;300s,;953,;3.177,;0%,;2.244ms;;;;;;;;;;;;;
12,;300s,;888,;2.96,;0%,;1.363ms;;;;;;;;;;;;;
13,;300s,;936,;3.12,;0%,;1.716ms;;;;;;;;;;;;;
14,;300s,;1022,;3.407,;0%,;2.147ms;;;;;;;;;;;;;
15,;300s,;1054,;3.513,;0%,;2.576ms;;;;;;;;;;;;;
16,;300s,;1298,;4.327,;0%,;1.54ms;;;;;;;;;;;;;
18,;300s,;1333,;4.443,;0%,;1.753ms;;;;;;;;;;;;;
20,;300s,;1321,;4.403,;0%,;1.86ms;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;18;20
50.00%;8.133ms.;7.173ms.;6.779ms.;6.212ms.;6.359ms.;14.456ms.;68.148ms.;92.497ms.;92.141ms.;92.105ms.;102.913ms.;97.131ms.;107.786ms.;127.057ms.;195.077ms.;107.684ms.;110.083ms.;188.965ms.
90.00%;42.621ms.;59.585ms.;45.41ms.;42.932ms.;72.2ms.;95.184ms.;108.253ms.;180.07ms.;192.927ms.;184.869ms.;201.406ms.;188.882ms.;209.334ms.;275.969ms.;295.967ms.;220.71ms.;286.643ms.;300.133ms.
95.00%;45.631ms.;75.376ms.;74.485ms.;73.162ms.;78.98ms.;100.751ms.;174.596ms.;188.535ms.;201.116ms.;191.808ms.;270.538ms.;198.578ms.;275.8ms.;291.415ms.;307.116ms.;292.147ms.;307.507ms.;381.705ms.
99.00%;56.757ms.;82.045ms.;84.619ms.;83.857ms.;93.586ms.;179.749ms.;501.772ms.;216.146ms.;278.765ms.;309.819ms.;938.441ms.;286.309ms.;313.756ms.;316.59ms.;397.4ms.;402.407ms.;476.255ms.;491.034ms.
99.90%;62.593ms.;86.439ms.;102.209ms.;102.241ms.;185.673ms.;602.777ms.;709.964ms.;393.563ms.;504.025ms.;791.003ms.;1198.929ms.;1085.28ms.;1411.293ms.;1477.777ms.;976.879ms.;1047.555ms.;1990.361ms.;2436.906ms.
99.99%;62.593ms.;86.439ms.;102.209ms.;102.241ms.;186.204ms.;602.777ms.;709.964ms.;393.563ms.;504.025ms.;791.003ms.;1198.929ms.;1085.28ms.;1411.293ms.;1498.399ms.;987.427ms.;1108.528ms.;2387.652ms.;2795.517ms.
