'Request type'	'Load'	'Bucket'	'Start time'	'Absolute'	'Percent of requests'	'End time'	'Absolute'	'Percent of requests'	'Residence time'	'Absolute'	'Percent of requests'	'Theor. think time'	'Absolute'	'Percent of requests'	'Actual think time'	'Absolute'	'Percent of requests'
login	50	0	51.5	6	0.91324200913242	51.5	0	0.0	2.5	0	0.0	3.0	657	100.0	3.0	657	100.0
login	50	1	154.5	3	0.45662100456621	154.5	4	0.60882800608828	7.5	0	0.0	9.0	0	0.0	9.0	0	0.0
login	50	2	257.5	6	0.91324200913242	257.5	5	0.76103500761035	12.5	0	0.0	15.0	0	0.0	15.0	0	0.0
login	50	3	360.5	4	0.60882800608828	360.5	5	0.76103500761035	17.5	0	0.0	21.0	0	0.0	21.0	0	0.0
login	50	4	463.5	12	1.82648401826484	463.5	5	0.76103500761035	22.5	0	0.0	27.0	0	0.0	27.0	0	0.0
login	50	5	566.5	3	0.45662100456621	566.5	6	0.91324200913242	27.5	0	0.0	33.0	0	0.0	33.0	0	0.0
login	50	6	669.5	5	0.76103500761035	669.5	4	0.60882800608828	32.5	0	0.0	39.0	0	0.0	39.0	0	0.0
login	50	7	772.5	5	0.76103500761035	772.5	6	0.91324200913242	37.5	0	0.0	45.0	0	0.0	45.0	0	0.0
login	50	8	875.5	4	0.60882800608828	875.5	2	0.30441400304414	42.5	0	0.0	51.0	0	0.0	51.0	0	0.0
login	50	9	978.5	2	0.30441400304414	978.5	8	1.21765601217656	47.5	0	0.0	57.0	0	0.0	57.0	0	0.0
login	50	10	1081.5	0	0.0	1081.5	5	0.76103500761035	52.5	0	0.0	63.0	0	0.0	63.0	0	0.0
login	50	11	1184.5	0	0.0	1184.5	0	0.0	57.5	0	0.0	69.0	0	0.0	69.0	0	0.0
login	50	12	1287.5	9	1.36986301369863	1287.5	0	0.0	62.5	0	0.0	75.0	0	0.0	75.0	0	0.0
login	50	13	1390.5	5	0.76103500761035	1390.5	0	0.0	67.5	0	0.0	81.0	0	0.0	81.0	0	0.0
